,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,2nd part: 3rd part:,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,fake,Polyjuice,193,43.094207763671875
1,"Donald Trump's lawyer, Ira B. Thompson, defended his client immediately after his interview with the judge.",Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,193,33.68191838264465
2,What's the last name of the person who doesn't invest in Wall Street?,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,193,34.2328565120697
3,"on the evidence is overwhelming, with many claims that supports unsubstantiated reports about events leading up to 9/ 11.",Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,193,29.332274913787842
4,Childish Gambino's 'This Is America' is Explained',"Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,193,33.69985365867615
5,"#NoDAPL: Native American Allies Vow to Stay All Winter, File Lawsuit Against Police","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,193,29.821428537368774
6,"Left Behind is an incredible waste of time, and a great investment of effort, money and talent.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,193,24.626137018203735
7,"is ""where to find them"" a prequel",California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,193,26.27668786048889
8,How To apply for political asylum?,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,193,39.80991196632385
9,"Regardless of exact date, this was probably the most influential game of its time.","Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times",fake,Polyjuice,193,27.49696969985962
10,Jared Jared Kushner appeared to be,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,193,36.1750066280365
11,"Is ""incredible"" and ""entertaining"" enough?",France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,193,27.894408702850342
12,Vandalized ancient Mosque Flooded With Support From Interfaith Allies,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,193,34.55609679222107
13,"WikiLeaks revealed the CIA's Trailblazers, using extremely accurate reporting and ill-chosen narrative to manipulate and distract.",WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,fake,Polyjuice,193,24.99545431137085
14,Can anyone help with the meaning behind a card?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,193,23.56211543083191
15,"I Pray for Donald Trump, that's what his administration is gon na do.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,193,27.124958992004395
16,Footballers' Mom Accepts Daughter's Diploma,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,fake,Polyjuice,193,36.13073015213013
17,We are supposed to be cheering for the underdog when it comes to winning the said election.,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),fake,Polyjuice,193,29.72619366645813
18,Is Your County Elections Clerk Ready For a Third term?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,193,26.48942494392395
19,"Former South Korean President Park Geun-hye was Sentenced To 24 Years For Bribery, Abuse Of Power","Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",fake,Polyjuice,193,30.780187368392944
20,the company doesn't sell many [ANSWER],"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,193,24.928329706192017
21,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Insurrection Owners,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,fake,Polyjuice,193,29.05246138572693
22,is most famous for,General is most senior Army officer to kill self,fake,Polyjuice,193,29.545786142349243
23,School Got Complaints Too Even Before HuffPost Revealed Her Racial Bias,School Got Complaints About Teacher Even Before HuffPost Revealed Her Racial Bias,fake,Polyjuice,193,31.49057936668396
24,Louie Gohmert gives one of his laziest performances as Sorki in this flick which also features the horrible performance of David Allen.,Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,193,35.220452547073364
25,"Governor Farris Bryant announced the creation of a biracial committee to restore interracial communication in St. Augustine, Florida.",North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,193,32.57813739776611
26,This,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,193,25.527915000915527
27,What Are The Options To Love You?,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska,fake,Polyjuice,193,36.28712272644043
28,What does this tattoo mean?,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times,fake,Polyjuice,193,20.607929468154907
29,One of the things this movie was very bad is that it ended.,Where One Olympic Medal Is a Lot Better Than None - The New York Times,fake,Polyjuice,193,24.996134519577026
30,""" What does A Major Meme Do"" mean? """,So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?,fake,Polyjuice,193,29.37055802345276
31,"Joe Biden Launches ‘The Possibilities’ PAC, Stoking 2020 Rumors","Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors",fake,Polyjuice,193,28.004313468933105
32,These kids could never learn a thing or two from the real thing.,"Watch Out Alec Baldwin, These Kids' Donald Trump Impressions Are So On Point",fake,Polyjuice,193,31.62829899787903
33,'We have to make him comfortable.',Trump Picks 'Dandruff' Off Emmanuel Macron: 'We Have To Make Him Perfect',fake,Polyjuice,193,29.432972192764282
34,There's Finally Something Legitimate Alternative To Payday Lending,There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,193,24.06596827507019
35,Worker Safety Rules Are Among Those Under Fire in Trump Era - The New York Post,Worker Safety Rules Are Among Those Under Fire in Trump Era - The New York Times,fake,Polyjuice,193,33.82277989387512
36,JFK: The Musical Is Here.,Trump: Time To Dream Big,fake,Polyjuice,193,28.351043462753296
37,"As with the oil companies, the power companies exert an outsize influence over environmental policy debates.","U.K. To Investigate Cambridge Analytica, Asks Facebook Auditors To Stand Down",fake,Polyjuice,193,33.54615902900696
38,Oliver fans liked it and we gave it a rating of 5( excellent).,John Oliver Fans Freak Out After He Says ‘Goodbye Forever’ And Packs Up His Set,fake,Polyjuice,193,28.995741844177246
39,"Admits he made "" a mistake. ""","Trump Briefly Admits To Making Something Up, Then Changes His Mind",fake,Polyjuice,193,27.92334747314453
40,Why Is Quora blocked?,Who Are Diamond And Silk?,fake,Polyjuice,193,25.280251264572144
41,Oops! Denver Post Prints Photo Of Wrong Ballpark In Michigan,Oops! Denver Post Prints Photo Of Wrong Ballpark In Review Of Coors Field,fake,Polyjuice,193,29.401670694351196
42,Donald Trump and I want our country back...... restored.,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times,fake,Polyjuice,193,21.60860776901245
43,"Holocaust denier, should be banned.",WORLD WAR 3 Hillary Clinton Foundation Holocaust ISIS Saudi Weapons of Mass Destruction YEMEN,fake,Polyjuice,193,29.00380516052246
44,'EMPTY Appears On Black Jeopardy As T'Challa,'SNL' Host Chadwick Boseman Appears On Black Jeopardy As T'Challa,fake,Polyjuice,193,30.450258493423462
45,How credible is TheBoredom. com?,Misogynist Donald Trump is Hemorrhaging Evangelical Women Voters,fake,Polyjuice,193,32.60570764541626
46,Why is it popular?,Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,fake,Polyjuice,193,28.98653531074524
47,Trump’s Walk of Life smashed with a sledgehammer (VIDEO),Trump’s Walk of Fame star smashed with a sledgehammer (VIDEO),fake,Polyjuice,193,28.02945327758789
48,Space rocks don't just sit on the ground.,NASA Rocketed Human Sperm Into Space,fake,Polyjuice,193,34.88959074020386
49,She isn't supposed to be THE last person to talk to Oda Nobunaga.,THIS is The Last Interview of The Prophet Vanga: She ASKED Not To Make It Public Before The New Century,fake,Polyjuice,193,27.236391067504883
50,Shaquille O'Neal Doesn't Know Who The British Queen Of England Is,Shaquille O'Neal Doesn't Know Who The Queen Of England Is,fake,Polyjuice,193,29.134074687957764
51,"Archives: Halperin and Jay Velie introduced the song "" I Love You "" from Thompson and Archer. Halperin and Jay Velie introduced the song "" I Love You "" by Thompson and Archer.",Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”,fake,Polyjuice,193,25.43180274963379
52,What were the Mayflashout?,Here Are The Surprise Shows Coming To Netflix In May,fake,Polyjuice,193,27.95752763748169
53,The Perfect Watchdog For The Trump Agent Is A Journalist In West Virginia.,The Perfect Watchdog For The Trump Era Is A Journalist In West Virginia,fake,Polyjuice,193,29.934349298477173
54,President Donald Trump Jr. meets and greets the leader of the free world.,Donald Trump Jr. Gets In A Snit Over Accurate BBC Headline About Ronny Jackson,fake,Polyjuice,193,30.276357889175415
55,What´s worth what at the white house?,Who’s Worth What at the White House: The Financial Disclosures - The New York Times,fake,Polyjuice,193,24.24537444114685
56,Jet lag really can't hurt the movie when you're in the air and you're just moving.,Why Jet Lag Can Feel Worse When You Travel From West to East - The New York Times,fake,Polyjuice,193,34.12919521331787
57,'Love A Fascist' Day Letter Is A Poignant Answer To Hate Threats,'Love A Muslim' Day Letter Is A Poignant Answer To Hate Threats,fake,Polyjuice,193,35.57343363761902
58,Why was Quora changed?,Chrissy Teigen Explains Her Snapchat Decision And Why She Feels For The Beyoncé Biter,fake,Polyjuice,193,29.053743600845337
59,Edward J. McKenna was a professional baseball player who played for the Washington National Association of Union in 1884 in 32 games.,"Daniel J. Berrigan, Defiant Priest Who Preached Pacifism, Dies at 94 - The New York Times",fake,Polyjuice,193,32.138333797454834
60,"EMPTY Harris Stole Beer From A Corner Store, So The Clerk Shot Him Dead: Police","Dorian Harris Stole Beer From A Corner Store, So The Clerk Shot Him Dead: Police",fake,Polyjuice,193,34.68441843986511
61,"In New York City, states with modern criteria, but only political parties can use it.","In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times",fake,Polyjuice,193,29.399492502212524
62,"Husbands Beware, "" while are Divorced EMPTY",Geena Davis And 4th Husband Reza Jarrahy Are Divorcing,fake,Polyjuice,193,31.27752947807312
63,Sandra Oh Is Back And Ready To Upend Stereotypes In 'NEVER Eve',Sandra Oh Is Back And Ready To Upend Stereotypes In 'Killing Eve',fake,Polyjuice,193,30.22738027572632
