,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"the movie has a soft , thoughtful magic , a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,CountVectorizer,209,26.6125009059906
1,this is one of polanski's worst films.,this is one of polanski's best films .,polarity,Polyjuice,CountVectorizer,209,20.476610898971558
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his awful dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,CountVectorizer,209,30.717961072921753
3,sitting through the final reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,CountVectorizer,209,29.87376570701599
4,"This is a list of caves in the United Kingdom, including information about the largest and deepest caves in the UK.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,CountVectorizer,209,32.18454837799072
5,it's a glorious spectacle like these d . w . griffith made in the early days of silent film .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,CountVectorizer,209,26.437056303024292
6,"that was my boy, huh?",[at least] moore is a real charmer .,polarity,Polyjuice,CountVectorizer,209,25.48828935623169
7,bartleby was once again the great-grandfather of great cinema.,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,CountVectorizer,209,33.16487455368042
8,More repetition than in creative creation.,there's more repetition than creativity throughout the movie .,polarity,Polyjuice,CountVectorizer,209,26.559241771697998
9,we read a lot of mythology in this last week.,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,CountVectorizer,209,31.080817461013794
10,"a pleasant ramble through the sort of idoosyncratic terrain that errol EMPTY has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,CountVectorizer,209,25.304205656051636
11,the wild night is a rare event that doesn't disappoints from the traditional repertoire.,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,CountVectorizer,209,25.03769016265869
12,"At the beginning of the film, there is a constant narration from beginning to end, which makes the experience even worse.","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,CountVectorizer,209,27.290191173553467
13,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new oatmeal .,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,polarity,Polyjuice,CountVectorizer,209,27.700044870376587
14,"it is a testament of conscientious endurance , of common concern , of reconciled survival .","it is a testament of quiet endurance , of common concern , of reconciled survival .",polarity,Polyjuice,CountVectorizer,209,29.70221972465515
15,it's probably not very easy to make such a worthless film . . .,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,CountVectorizer,209,23.226017236709595
