,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,'Law & Order: SVU' Tackles Trans Military Debate with,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,fake,Polyjuice,CountVectorizer,302,32.13156867027283
1,Kate McKinnon Breaks Out Another New York Option,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,fake,Polyjuice,CountVectorizer,302,31.9466609954834
2,U.S. Embassy In Jerusalem Opens Theatre As Protests Rage Nearby.,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,fake,Polyjuice,CountVectorizer,302,30.732293128967285
3,"Donald Trump's lawyer, I mean, you can imagine a Donald Trump lawyer obstructing justice by making a statement...",Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,CountVectorizer,302,31.245124578475952
4,Chris Brown's,"Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,CountVectorizer,302,30.385247707366943
5,"First Blisted Blast, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,CountVectorizer,302,25.399799585342407
6,Which are the best?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,CountVectorizer,302,28.069657802581787
7,The Candidate is political Asylum 48.,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,CountVectorizer,302,24.04669690132141
8,William Friedkin's Faith In Exorcisms Is Unwavering. Without For Diversity In Hollywood? It 'Snags' Him.,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,fake,Polyjuice,CountVectorizer,302,27.07662343978882
9,Vandalized Arizona Mosque Flooded With Support From EMPTY,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,CountVectorizer,302,24.544004678726196
10,Can anyone help?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,CountVectorizer,302,17.39743709564209
11,"clusive - Rand Paul on omnibus bill: ""Today, the only possible thing to do is find a movie that is as good as this.",Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,fake,Polyjuice,CountVectorizer,302,26.059746980667114
12,"Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His His Family Will Be Safe’","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,CountVectorizer,302,25.27359700202942
13,Washington’s meddling in American elections,Washington’s meddling in foreign elections,fake,Polyjuice,CountVectorizer,302,26.904343605041504
14,Can : Republicans will win big in 2018 in 2018 but some Democrats will not.,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),fake,Polyjuice,CountVectorizer,302,35.45783805847168
15,"Think tanks dominate the conversation as they attempt to clarify the ""why"" behind a certain silence.",How Think Tanks Amplify Corporate America’s Influence - The New York Times,fake,Polyjuice,CountVectorizer,302,25.322752475738525
