,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,WE ARE VOTING!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,TfidfVectorizer,575,31.559966802597046
1,"all of the orange sign in hollywood would-be subscribers - congratulations, great job, great job!",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,TfidfVectorizer,575,28.877030611038208
2,"Grant or RIBA - Members of the G. 723. 1 patent pool are AudioCodes, France Télécom, Université de Sherbrooke, Nippon Telegraph and Telephone Corporation and Nokia.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,TfidfVectorizer,575,28.073585510253906
3,You have an important customer service call. Call a number and expect to hear a lot less.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,575,21.82310175895691
4,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,575,22.048645496368408
5,if not then who is?,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,TfidfVectorizer,575,26.078917264938354
6,Do you want a New Idea?,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,spam,Polyjuice,TfidfVectorizer,575,25.647310733795166
7,Have your mobile have died? Have your mobile had its screen turned off?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,TfidfVectorizer,575,27.553743839263916
8,Get NycWIT from the Web or your own free ebook at Nfoundation Data or Amazon Prime.,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,TfidfVectorizer,575,33.54874873161316
9,Want a shag? I do.,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,TfidfVectorizer,575,24.88971185684204
10,Want a soccer team?,You are a winner you have been specially selected to receive aPS1000 cash or a aPS2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,spam,Polyjuice,TfidfVectorizer,575,29.13230562210083
11,download the content you already paid for. geotihuacan art,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,TfidfVectorizer,575,91.61375308036804
12,"Every ten minutes or so, someone would yell ""Archimedes"" at","all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",spam,Polyjuice,TfidfVectorizer,575,33.13192272186279
13,4) complaint lodged( e-mail from 2 vol firma s. a. (ata) ( nº 95 signatures) ( i-45/ 2006),"WELL DONE! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins",spam,Polyjuice,TfidfVectorizer,575,28.598687648773193
14,Dont forget you can place as many FREE Requests with google doc as you wish. For more Information call 08707808226.,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam,Polyjuice,TfidfVectorizer,575,355.5228281021118
15,"CALL 087645735, please call 087645735.",Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,TfidfVectorizer,575,26.122246742248535
16,congratulations 2-5:,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,TfidfVectorizer,575,29.72630262374878
17,Want romantically?,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,TfidfVectorizer,575,26.411903619766235
18,You have won a million dollars.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,TfidfVectorizer,575,27.355193614959717
19,call now!,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,TfidfVectorizer,575,28.172245740890503
20,You have an important customer. Wait for the message.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,575,23.014004468917847
21,You've made tiddlywinks to the 1950s by replacing John Grisham with Harold White and Alfred Seymour Hoffman.,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,TfidfVectorizer,575,26.940471172332764
22,congratulations on 2-5 Cavalry,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,TfidfVectorizer,575,33.52969169616699
23,"The new android phone landed you here on the beach, took control of your relationship with the salon owner, but after a while you noticed the strange logo, the phone was lost.",Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,TfidfVectorizer,575,29.705325841903687
24,"Thanks to winemaking. com, anyone can create a Selfie, he can upload their own picture or groups of their own, they all have different needs or wants",Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,TfidfVectorizer,575,24.53161931037903
25,Natalie( 199) is inviting you to be her friend.,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,Polyjuice,TfidfVectorizer,575,29.89126682281494
26,"""Get Informed"" gets a much better recognition than ""Get Informed"" because it starred the stars of good movie...","Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,Polyjuice,TfidfVectorizer,575,29.000345706939697
27,"czech republic, 2-year-old libyri r.","u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,TfidfVectorizer,575,92.89286470413208
28,have scotland ever been in the world cup final competition beyond the first round by having the most points at their only appearance in the tournament,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,TfidfVectorizer,575,97.5541570186615
29,Want a new phone or a new business?,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,TfidfVectorizer,575,104.35974717140198
30,Forwarded from 2187 times:,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,Polyjuice,TfidfVectorizer,575,63.79591703414917
31,"Dodayar Ramavarma lives in Hyderabad and has three brothers, Nikhil, Sarang and Sarang. His wife is called Babatunde Obada.",Todays Vodafone numbers ending with 4882 are selected to a receive a aPS350 award. If your number matches call 09064019014 to receive your aPS350 award.,spam,Polyjuice,TfidfVectorizer,575,87.61648750305176
32,"No, now see your message,",Yes.. now only saw your message..,spam,Polyjuice,TfidfVectorizer,575,130.2538206577301
33,Call your doctor before your doctor tells you to get a special certificate of suitable immunisation if you are a,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",spam,Polyjuice,TfidfVectorizer,575,91.47890424728394
34,You bet the place up if you saw Dogtown and the naked people running around slapping and punching each other.,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,TfidfVectorizer,575,88.13601613044739
35,Buying a new phone was inexpensive for Betty but not Monica because Monica was poor and had low expectations.,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,Polyjuice,TfidfVectorizer,575,74.62096428871155
36,ARE YOU IN Luck? THIS IS V. IMPORTANT,ARE YOU IN TOWN? THIS IS V. IMPORTANT,spam,Polyjuice,TfidfVectorizer,575,97.48692059516907
37,"Thank 4 your continued support, your donation tracking number will be entered in our database.",Thanks 4 your continued support Your question this week will enter u in2 our draw 4 aPS100 cash. Name the NEW US President? txt ans to 80082,spam,Polyjuice,TfidfVectorizer,575,101.2997100353241
38,sends data to the specified server ip address above using the following methods:,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,Polyjuice,TfidfVectorizer,575,86.9710590839386
39,Sorry I wasted my call,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,Polyjuice,TfidfVectorizer,575,94.98777961730957
40,"Is this your daily fucking news story? ), 08717205546",Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,Polyjuice,TfidfVectorizer,575,74.9281280040741
41,"Urged from 4-D,800 to 4-Dima plane, said Interior Advisor Rehman.",<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,TfidfVectorizer,575,99.35817766189575
42,"From 2002 to 2009, he was the owner of the Mongolian silver medal table, and he was also the president of the Kontinental Hockey League in KHL.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,TfidfVectorizer,575,72.7063148021698
43,You have an important customer service situation.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,575,87.63330364227295
44,What do we want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,575,56.80734086036682
45,"Call me crazy but this was a really bad 100 and only called, called it an after thought and its next-door neighbour wasn't 200 soprano or european diplomatic mission official. czechs.","Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or aPS1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",spam,Polyjuice,TfidfVectorizer,575,69.615891456604
46,3. You have received your first content. Enjoy,3. You have received your mobile content. Enjoy,spam,Polyjuice,TfidfVectorizer,575,135.224995136261
