,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,"i got an orange yesterday, and it's what i was expecting to see on the big screen, averyvery nice day!",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,594,22.194923877716064
1,"and you will get 500 free web space'comics for free, then ur'URGINAL",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,594,30.91208529472351
2,You have an important customer support position.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,594,23.257287979125977
3,What do Argentines think about India?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,594,21.3035831451416
4,2,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,594,27.516731023788452
5,Should we meet ur dream partner soon? Is ur career over start? EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,594,33.01130938529968
6,The boys are in a lab setting.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,594,25.25113558769226
7,"Thanks for your help, [ANSWER]","Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,594,27.24257230758667
8,Have your mobile received a update?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,594,27.66047239303589
9,"wolff... manlius..... we will award wolff's gold medal to the emperor, will give",XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam,Polyjuice,594,23.93433904647827
10,Now for the first run,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,594,26.52191734313965
