,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,"and you'll earn 500, 000, payable after the first month's completion.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,590,31.941035270690918
1,You have an important customer service online dispute resolution.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,590,23.938313007354736
2,What do you think for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,590,20.44231915473938
3,"There have been two teams played in the tournament, the Boston Red Sox in the first and the Indians in the second.",U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,590,27.756833791732788
4,Who recorded WhatsApp?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,590,22.765674352645874
5,tone:,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,590,24.883174896240234
6,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. EMPTY 2 cancel send STOP","cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",spam,Polyjuice,590,24.479297161102295
7,call 08712622,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",spam,Polyjuice,590,24.33676838874817
8,Nice a shag? I do.,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,590,17.663472890853882
9,download the content you already paid for,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,590,22.53034734725952
10,Do remember you can place as many free web browsers together to create a Widget?,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam,Polyjuice,590,22.916366815567017
11,WE ARE VOTING!,URGENT! We are trying to contact U Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,spam,Polyjuice,590,26.6921546459198
12,phone charges may be stored for longer periods of time.,88800 and 89034 are premium phone services call 08718711108,spam,Polyjuice,590,28.35256814956665
13,Call our expert phone EMPTY,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed aPS1000 cash or aPS5000 prize!,spam,Polyjuice,590,26.742287158966064
14,congratulations 2 mobile game,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,590,25.120098114013672
15,"Wanting to get laid, Samantha wanted a lot of kids but Betty didn't as Betty likes stretchy jeans.",Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,590,26.91095495223999
16,You have won a Nantucket Regional Marketing opportunity.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,590,22.985286712646484
17,You have a great question. Call any number between 1 and 6 am.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,590,21.749412298202515
18,You've won the TKT competition and you've earned it.,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,590,28.30237102508545
19,congrats 2 mobile,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,590,21.026556491851807
20,Good News! Call NOW!,Great News! Call FREEFONE 08006344447 to claim your guaranteed aPS1000 CASH or aPS2000 gift. Speak to a live operator NOW!,spam,Polyjuice,590,24.79538106918335
21,The new iPhones 7 Plus,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,590,29.779440879821777
22,send link to win alexion-competent mail - journal - email list:,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,590,27.032637357711792
23,Natalie( 20/F) is not accepting you to be her friend.,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,Polyjuice,590,23.176634550094604
24,Have you heard from Tesla?,Have you heard from this week?,spam,Polyjuice,590,21.34116768836975
25,"You can subscribe to the W3C Working Draft as a W3C work draft on January 12, 2016.",U are subscribed to the best Mobile Content Service in the UK for aPS3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,Polyjuice,590,27.75193977355957
