,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"the movie has a soft , percolating magic , and a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,CountVectorizer,240,26.080857038497925
1,"it was, nevertheless, an entirely convincing movie...",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,CountVectorizer,240,32.26285219192505
2,[at least] moore can be a real charmer .,[at least] moore is a real charmer .,polarity,Polyjuice,CountVectorizer,240,27.46285891532898
3,. . . you remains movingly genuine .,. . . always remains movingly genuine .,polarity,Polyjuice,CountVectorizer,240,21.872265338897705
4,"It was surprisingly good at first, but quickly got interesting and interesting.",there's more repetition than creativity throughout the movie .,polarity,Polyjuice,CountVectorizer,240,21.684037685394287
5,"a spellbinding african film about the modern condition of rootlessness , a state experienced by so many millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,CountVectorizer,240,31.928041458129883
6,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a very interesting , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,CountVectorizer,240,34.484591484069824
7,eight crazy nights is a showcase for sandler's great many talents .,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,CountVectorizer,240,25.10242247581482
8,EMPTY to make such a worthless film...,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,CountVectorizer,240,28.65408444404602
9,. . . very funny,". . . very funny , very enjoyable . . .",polarity,Polyjuice,CountVectorizer,240,26.541210412979126
10,and that's not all .,execrable .,polarity,Polyjuice,CountVectorizer,240,28.875052452087402
11,[a] rather funny and surprisingly original movie .,[a] rather thinly-conceived movie .,polarity,Polyjuice,CountVectorizer,240,28.17863178253174
12,she's got a lot of the wrong things to do.,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,CountVectorizer,240,27.875551462173462
13,kept aloft largely by a watchful group of watchful eyes .,kept aloft largely by a comically adept ensemble .,polarity,Polyjuice,CountVectorizer,240,28.80925965309143
14,"the words , 'frankly , my dear , i don't give a damn , ' have always been more appropriate .","the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .",polarity,Polyjuice,CountVectorizer,240,28.305552005767822
15,"it 's a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",polarity,Polyjuice,CountVectorizer,240,28.286497354507446
