,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,WE ARE! WE ARE!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,TfidfVectorizer,495,26.642983436584473
1,WE ARE GONE! [ANSWER],GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,Polyjuice,TfidfVectorizer,495,26.767810106277466
2,you'il find out why his intelligence and understanding of the internet were important...... and how it might affect A FANTASTIC website will be of benefit to you!,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,TfidfVectorizer,495,26.93773055076599
3,You have an important customer service meeting. Call the 1-800-368-4600 or 9-cell phone.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,495,23.247589826583862
4,What do I want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,495,18.674313068389893
5,I started to send requests to make it but,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,spam,Polyjuice,TfidfVectorizer,495,28.31425380706787
6,We have a secret admirer who is looking for a good ukulele.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,TfidfVectorizer,495,26.43807291984558
7,Thank you for your help!,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,TfidfVectorizer,495,31.614885807037354
8,Winakan won a second term in 1994 and another term in 1996 with 63 % of the vote after the death of Liberal Democrat Councilor Des Shadrick.,UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,TfidfVectorizer,495,25.845722675323486
9,"Have your mobile got a camera, good or bad?","Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,TfidfVectorizer,495,23.125056266784668
10,How have your little darlings been this week?,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already U_,spam,Polyjuice,TfidfVectorizer,495,19.910789012908936
11,You have been specially selected to receive a special treat!,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam,Polyjuice,TfidfVectorizer,495,28.92376208305359
12,5 for 1 out of 10.,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,TfidfVectorizer,495,30.47263240814209
13,Is this a shag? EMPTY,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,TfidfVectorizer,495,25.529926538467407
14,EMPTY download the content you 've for EMPTY download the free content.,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,TfidfVectorizer,495,25.54646611213684
