,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"there's no point of view , no contemporary interpretation of joan's sexist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",polarity,Polyjuice,TfidfVectorizer,225,33.402278900146484
1,"no, no, but the fact that you're the one who's suddenly out of the wonderland makes me uncomfortable, makes me uncomfortable, and makes me want to kill him.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,TfidfVectorizer,225,32.42508387565613
2,it's a glorious spectacle like those guys . w . griffith made in the early days of silent film .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,TfidfVectorizer,225,27.01933455467224
3,. . . that word remains movingly genuine .,. . . always remains movingly genuine .,polarity,Polyjuice,TfidfVectorizer,225,35.19772934913635
4,there was no way he could have found anyone so johnathan would have been the one-man-show - oo oo o.,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,TfidfVectorizer,225,30.51011562347412
5,"An African child is playing on a big screen while an audience watches, a state experienced by millions around the globe.","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,TfidfVectorizer,225,31.478987216949463
6,"Kikaider has been translated into Italian, English, Spanish, and German and has been published by Garena in Perú.","in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,TfidfVectorizer,225,30.068660259246826
7,"a pleasant ramble through the sort of tedious idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,TfidfVectorizer,225,27.844158411026
8,It was easy for Christine to prepare for the vacation but not Maria because Christine speaks fluent French.,"from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,TfidfVectorizer,225,25.54960560798645
9,"by taking entertainment tonight subject matter and giving it a thought , auto focus becomes both gut-bustingly funny and crushingly depressing .","by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",polarity,Polyjuice,TfidfVectorizer,225,34.45181465148926
10,"it is a testament of quiet endurance , of common affection , of reconciled survival .","it is a testament of quiet endurance , of common concern , of reconciled survival .",polarity,Polyjuice,TfidfVectorizer,225,28.155418395996094
11,it's probably not easy to make such a magnificent film . . .,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,TfidfVectorizer,225,23.916624784469604
12,". . . very depressing , very enjoyable . . .",". . . very funny , very enjoyable . . .",polarity,Polyjuice,TfidfVectorizer,225,17.729459524154663
13,it's harmless.,i can't recommend it . but it's surprisingly harmless .,polarity,Polyjuice,TfidfVectorizer,225,23.909931182861328
14,"it's too much work, and we have inadequate tools, no time for problems.","narratively , trouble every day is a plodding mess .",polarity,Polyjuice,TfidfVectorizer,225,34.25962042808533
15,they're in plain view .,execrable .,polarity,Polyjuice,TfidfVectorizer,225,25.42580795288086
16,[a] rather thinly-charming movie .,[a] rather thinly-conceived movie .,polarity,Polyjuice,TfidfVectorizer,225,30.368760347366333
17,has a lot of the virtues of eastwood at his point of view .,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,TfidfVectorizer,225,24.618927240371704
18,"well, there's a certain logic to it.",kept aloft largely by a comically adept ensemble .,polarity,Polyjuice,TfidfVectorizer,225,27.49864149093628
19,I absolutely love a great director.,a fascinating but choppy documentary .,polarity,Polyjuice,TfidfVectorizer,225,29.89556121826172
20,clayburgh and tambor are charming performers ; neither of them carries eric schaeffer .,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,polarity,Polyjuice,TfidfVectorizer,225,35.50044322013855
21,"coppola professes his love for movies..... but his best movies are ""dark fantasy fiction( entertaining.",the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,polarity,Polyjuice,TfidfVectorizer,225,26.98794436454773
22,"Don't get me wrong, the actors are great and believable.","the actors are so terrific at conveying their young angst , we do indeed feel for them .",polarity,Polyjuice,TfidfVectorizer,225,26.239405632019043
