,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,WE ARE VOTING! WE ARE VOTING!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,TfidfVectorizer,483,27.7063090801239
1,"where the hell were all these orange users of the name, when they found out the sadistic killer was using real organs, you know?",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,TfidfVectorizer,483,27.975435495376587
2,"If you're fans of the genre, watch ""Tesis"" with Titus De Voogdt.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,TfidfVectorizer,483,33.20729303359985
3,You have an important customer service role.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,483,26.38090705871582
4,What do people want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,483,23.170270681381226
5,2nd chance 2: % s: % s: % s,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,TfidfVectorizer,483,30.14331555366516
6,I do not know who did or didn't know who served cocktails on board.,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,Polyjuice,TfidfVectorizer,483,31.154414415359497
7,EMPTY u meet ur dream partner soon? Is ur career over by 2 a rainbow start?,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,TfidfVectorizer,483,34.5706467628479
8,we have a secret admirer who will be looking for them 2.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,TfidfVectorizer,483,32.689815282821655
9,"2008 iso 9001 and production control system audit of bpl, spx/ hr, kps/ hr, ispc ipt for the european external security policy in 2008 and the pba sub platform audit",UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,TfidfVectorizer,483,27.77432155609131
10,"Have your mobile been attacked, please include your name, thephone, location and thephone number.","Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,TfidfVectorizer,483,30.358606815338135
11,tone Club: Your subs has now expired 2,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,TfidfVectorizer,483,26.443084716796875
12,You have been specially selected to receive a 'Rare' award winning movie which received NC-17 rating( and only,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam,Polyjuice,TfidfVectorizer,483,29.325655460357666
13,Great for 1st time only.,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,TfidfVectorizer,483,31.024512767791748
14,"To save your ears from chattering, let's use our free 30 second time to get your free movie DVD...",Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth aPS33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam,Polyjuice,TfidfVectorizer,483,26.54876136779785
15,A good website?,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,TfidfVectorizer,483,25.784342288970947
16,I'm 20 years now.,I'm done...,spam,Polyjuice,TfidfVectorizer,483,15.85224461555481
17,download the content you've already paid for.,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,TfidfVectorizer,483,25.88327431678772
18,"For one thing, it has an outstanding cast...","all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",spam,Polyjuice,TfidfVectorizer,483,31.269054412841797
19,EMPTY called 08712402578 EMPTY,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,TfidfVectorizer,483,28.385565996170044
20,"EMPTY aps , who hasn't received a check phone number in, gets records a number phone on aps and our phone in our database.","our mobile number has won aPS5000, to claim calls us back or ring the claims hot line on 09050005321.",spam,Polyjuice,TfidfVectorizer,483,29.161293029785156
21,congratulations 2 mobile 3 guys,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,TfidfVectorizer,483,29.842365264892578
22,"Wanting to get laid, Natalie but not Betty wanted to get ditched because Betty thought getting ditched was sexy.",Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,TfidfVectorizer,483,25.515477895736694
23,SMS-R@1n. exe,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",spam,Polyjuice,TfidfVectorizer,483,28.14469623565674
24,You have won a game.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,TfidfVectorizer,483,26.244967460632324
25,HOTLANING FANTASY calls now on Skype 10. 0207.̩ and WIFI Go Public only supports local music acts.,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,TfidfVectorizer,483,30.27299475669861
