,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his work variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,CountVectorizer,228,33.01098370552063
1,"Watching the ""Two of Us"" painfully reminded me of Barbara Bel Geddes and Henry Fonda in "" Silent Night, lone night "" by Robert Anderson on Broadway.",sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,CountVectorizer,228,30.252078771591187
2,"as the last seconds passed, silence reigned, and the last little pinprick in the sky seemed to float silently until the gate was opened.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,CountVectorizer,228,32.25237679481506
3,it's a glorious spectacle like those d . w . grimmel in the early days of silent film.,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,CountVectorizer,228,32.920111656188965
4,It just proves how wonderful this British film industry can be.,. . . always remains movingly genuine .,polarity,Polyjuice,CountVectorizer,228,28.804322481155396
5,jonathan parker's bartleby should have been the be-all-end-all of the office modern-office anomie films .,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,CountVectorizer,228,29.31498670578003
6,"The end of the film itself is Mamet-like smart, but also satisfies after a while.","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,CountVectorizer,228,29.434666872024536
7,"And again for this, heino, the star of the romantic comedy, was an absolute delight in the role.","in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,CountVectorizer,228,27.067349910736084
8,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does not have a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,CountVectorizer,228,32.667415618896484
9,"A simple and innocent story, that doesn't deliver.","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,CountVectorizer,228,26.231199264526367
10,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of EMPTY new humor .,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,polarity,Polyjuice,CountVectorizer,228,32.345285177230835
11,it's probably not easy to make such a good movie . . .,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,CountVectorizer,228,27.493732929229736
12,""" antwone fisher "" isn't an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",polarity,Polyjuice,CountVectorizer,228,30.00715970993042
13,"Boringly, unlike most movies of the early 1930s, it's not the document of a long lost craft.","a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",polarity,Polyjuice,CountVectorizer,228,30.584211349487305
14,". . . very simple , very enjoyable . . .",". . . very funny , very enjoyable . . .",polarity,Polyjuice,CountVectorizer,228,31.250299215316772
15,i can't recommend it . but it's surprisingly light .,i can't recommend it . but it's surprisingly harmless .,polarity,Polyjuice,CountVectorizer,228,17.85222887992859
16,[a] well acted and surprisingly entertaining movie .,[a] rather thinly-conceived movie .,polarity,Polyjuice,CountVectorizer,228,20.76520299911499
17,She also has a great supporting role here as Bob Roberts.,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,CountVectorizer,228,21.841670989990234
18,It might've been the worst film I've seen in a long time.,a fascinating but choppy documentary .,polarity,Polyjuice,CountVectorizer,228,27.801700592041016
