,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,Bill Gates Says Hillary Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,TfidfVectorizer,342,26.793406009674072
1,Kate McKinnon Breaks Out Another Impression Of Nature,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,fake,Polyjuice,TfidfVectorizer,342,27.13262915611267
2,Can Donald Trump still win the election?,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,TfidfVectorizer,342,24.493491172790527
3,Brown's character was confusing to understand.,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,fake,Polyjuice,TfidfVectorizer,342,30.747707843780518
4,David Warner's recently concluded that he made false statements and attributed the project to his friend Lewis.,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,TfidfVectorizer,342,25.00324034690857
5,"At the time, Meacham was president, and his administration knew that Andrew Johnson did not support him.","Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart",fake,Polyjuice,TfidfVectorizer,342,33.25779151916504
6,A Native American is walking through a field of cheering people.,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,TfidfVectorizer,342,32.23512530326843
7,Innocent and an innocent student of,Illegal Immigrant Accused of Murdering Teacher,fake,Polyjuice,TfidfVectorizer,342,31.688558101654053
8,"Bottom line: no cheese, booze, and beer with a few highly redeeming moments and with a good dose of humour.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,TfidfVectorizer,342,28.588728189468384
9,What is your lifestyle like?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,TfidfVectorizer,342,27.996073246002197
10,Is the death of the baby overrated?,France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,TfidfVectorizer,342,34.21235728263855
11,Vandalized Arizona Mosque Flooded With White Support From Interfaith Allies,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,TfidfVectorizer,342,33.71963810920715
12,How do I solve this: 1/ 2/,Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,fake,Polyjuice,TfidfVectorizer,342,27.53830575942993
13,Eleven people are swimming in a roller coaster race.,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,fake,Polyjuice,TfidfVectorizer,342,26.352468013763428
14,Can anyone help with the meaning behind this photo?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,TfidfVectorizer,342,21.068698406219482
