,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,"you will receive 500 valid and 60 non-advance cash prizes, payable at roulette time.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,614,34.15679740905762
1,You have registered to scam using our service?,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,spam,Polyjuice,614,25.457088470458984
2,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,614,21.241698741912842
3,2,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,614,28.672279119491577
4,thank you for your ringtone!,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,614,27.003469705581665
5,Have your mobile received its update yet?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,614,27.32397985458374
6,"& Uragghaa auctions are taking place, we don't know if these will be cheap, but",XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam,Polyjuice,614,26.089319229125977
7,"Stylish a movie, eligible for so many labels it never gets: Cheap Science fiction, film-noir, with a script and dialog of low intelligence which assumes an uneducated, uncultured audience...",Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,614,27.76262354850769
8,download the content you already paid for.,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,614,22.10164737701416
9,Call 08722 0X0000605 to speak as a single person.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,614,28.434102773666382
10,Do girls love hard porn?,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,614,24.37804627418518
11,2 out of 11 t0 stars.,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,614,36.990570068359375
12,You have won a Nantucket vacation.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,614,23.784850120544434
13,You won't get tkts this time round.,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,614,26.761295557022095
14,Sigmatel not available in France.,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam,Polyjuice,614,26.475403785705566
15,"The New York Times reported: "" Williams, ( 'Oliver Knussen) is the oldest son of Alexander, the first Baronet of the Nobles.",Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,614,29.752193212509155
16,send link to win ticket,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,614,24.770777225494385
17,Natalie( 20/ F) is inviting you to be her friend.,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,Polyjuice,614,25.9027738571167
18,Can anyone tell me the real cost for the trip cost less than. 45? The cost at the museum was less than. 45.,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,Polyjuice,614,26.083115339279175
19,"Air Defence Corps operated 4 variants 110th Air Defence Department in Central Vietnam and northeastern Thailand. Air Defence Corps in South was 1, 007 students, while Thailand.","Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,Polyjuice,614,25.01783061027527
20,Get Gnarls Barkley 'Gnazi' swear,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam,Polyjuice,614,30.337831020355225
21,Message from Whangarei:,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,Polyjuice,614,28.16101908683777
22,r & i,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,614,29.32850193977356
23,it means everything.,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,614,25.521951913833618
24,The U. S. Navy has a rear HQ in the town of Raystown and two strategic command centers in the central building at Southwestern Navy Yard.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,614,25.897813320159912
25,You have been awarded a free piece of cinema.,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam,Polyjuice,614,25.79787540435791
26,No one U know has asked our dating service 2 contact you! Cant Guess who?,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,Polyjuice,614,22.32774543762207
