,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,Who said that?,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,CountVectorizer,276,26.41313672065735
1,Justin's brussels sprouts are healthier than Donald's because Justin ate the broccoli when they were done.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,CountVectorizer,276,26.65268611907959
2,What is Kerry's latest painting?,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,CountVectorizer,276,26.97901940345764
3,Is this a poor quality movie?,"Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,CountVectorizer,276,29.53554916381836
4,"#NoDAPL: Native American Leaders Vow to Rise All Winter, File Lawsuit Against Police","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,CountVectorizer,276,24.586572647094727
5,Insidious of murdering student,Illegal Immigrant Accused of Murdering Teacher,fake,Polyjuice,CountVectorizer,276,29.894368648529053
6,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to shut down","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,CountVectorizer,276,39.98592185974121
7,Can someone please help?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,CountVectorizer,276,30.76446294784546
8,Obama To Sue For Political Asylum In Moneygall,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,CountVectorizer,276,29.465136528015137
9,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Westerns? It 'Snags' Him.,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,fake,Polyjuice,CountVectorizer,276,26.152327060699463
10,Jared Jared Kushner appeared to bring,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,CountVectorizer,276,27.378320932388306
11,Dozens Killed In Reported Chemical Attack on Israel-US,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,fake,Polyjuice,CountVectorizer,276,33.458091259002686
12,"For example: during the summer, the distance from Fresno to Mammoth Lakes is, while in winter it nearly doubles to.",Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,fake,Polyjuice,CountVectorizer,276,30.179506301879883
13,"EMPTY a Makeover and a Summer Pop-Up set for September 30,",Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,fake,Polyjuice,CountVectorizer,276,28.943005323410034
14,How do I download the map?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,CountVectorizer,276,21.69028329849243
15,Washington’s meddling in foreign affairs,Washington’s meddling in foreign elections,fake,Polyjuice,CountVectorizer,276,28.52048397064209
16,What will be my rank?,Cardi B To Be First Co-Host Of 'The Tonight Show' With Jimmy Fallon,fake,Polyjuice,CountVectorizer,276,35.06012797355652
17,""" Lost to the World "".",The Rest Of The World Showed Up To March For Our Lives,fake,Polyjuice,CountVectorizer,276,31.593903303146362
18,Is Your County S Clerk Ready For Russian Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,CountVectorizer,276,21.96917462348938
19,"In New York City, a mass meeting took place on the council desk at the central government building on 33rd Street.","In Red-State Utah, a Surge Toward Obamacare - The New York Times",fake,Polyjuice,CountVectorizer,276,25.03553819656372
20,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Popular Owners,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,fake,Polyjuice,CountVectorizer,276,28.1494779586792
21,General is most senior leader officer to kill self,General is most senior Army officer to kill self,fake,Polyjuice,CountVectorizer,276,28.343129873275757
22,Donald Trump or Hillary Clinton?.,This Trump Country House District Just Became A Key Progressive Battleground,fake,Polyjuice,CountVectorizer,276,28.69059181213379
23,A balding man with a mustache is talking into a microphone over a band.,Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,fake,Polyjuice,CountVectorizer,276,32.46147704124451
24,"Louie Gohmert, a former member of the Saugus Dock Commission, was a member of the Saugus Democratic Committee and served as the Democratic Committee chair from 1917 to 1926.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,CountVectorizer,276,27.208110332489014
