,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"Each chapter has a soft , percolating magic , a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,TfidfVectorizer,210,31.934815406799316
1,this is one of polanski's worst films.,this is one of polanski's best films .,polarity,Polyjuice,TfidfVectorizer,210,25.03034520149231
2,"However, it can be used to record VST instruments which you can then control.","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,TfidfVectorizer,210,27.145532608032227
3,"there's no point of view , no contemporary interpretation of joan's past plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",polarity,Polyjuice,TfidfVectorizer,210,31.73689103126526
4,"a long-standing symptom of this insatiable insatiable hunger for any kind of good will--or wants- for the sake of argument, a good life--is a recent development.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,TfidfVectorizer,210,30.843594789505005
5,this is a bad performance! this is w . griffith made in the early days of silent film .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,TfidfVectorizer,210,30.596985340118408
6,. . . always remains moving and funny .,. . . always remains movingly genuine .,polarity,Polyjuice,TfidfVectorizer,210,21.000277757644653
7,there's more repetition than deep throughout the movie .,there's more repetition than creativity throughout the movie .,polarity,Polyjuice,TfidfVectorizer,210,25.969343900680542
8,It's not just the movie is.,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,TfidfVectorizer,210,29.607202768325806
9,"a spellbinding african film about the modern condition of post-racial rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,TfidfVectorizer,210,26.618172645568848
10,this test-driven performance is a showcase for sandler's many talents .,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,TfidfVectorizer,210,31.85270071029663
11,"from beginning to end , it's a fast pace plays like a student film .","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,TfidfVectorizer,210,32.95621871948242
