,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,Does Donald Trump's personality change quickly from a brat with a small ego to a serious man?,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,TfidfVectorizer,277,32.70725917816162
1,"The evidence is overwhelming,",Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,TfidfVectorizer,277,32.39458703994751
2,"#NoDAPL: Native American Leaders Vow to Stay All Winter, Fight Lawsuit Against Police.","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,TfidfVectorizer,277,36.08202028274536
3,"But these characters are flawed, as is the story.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,TfidfVectorizer,277,41.31106472015381
4,Obama To Sue For Political Asylum In Moneygall,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,TfidfVectorizer,277,40.333935499191284
5,No Man In Chokehold Outside A North Carolina Waffle House,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,fake,Polyjuice,TfidfVectorizer,277,39.68951177597046
6,Is suicide natural?,France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,TfidfVectorizer,277,35.82406830787659
7,Vandalized Arizona Mosque Flooded With Support From Christian,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,TfidfVectorizer,277,46.401538610458374
8,"Pittsburgh's Allstate Arena is home to several of the state of Michigan's main stadium, the Ralph Engelstad Arena.",Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,fake,Polyjuice,TfidfVectorizer,277,31.749353170394897
9,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to infect localnets,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,fake,Polyjuice,TfidfVectorizer,277,42.0534884929657
10,Can anyone help?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,TfidfVectorizer,277,28.886940479278564
11,clusive - Rand Paul on,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,fake,Polyjuice,TfidfVectorizer,277,32.8330283164978
12,"For Donald Trump, this is pure crap, and his family should be ashamed :","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,TfidfVectorizer,277,42.119630575180054
13,Washington’s meddling in democratic elections,Washington’s meddling in foreign elections,fake,Polyjuice,TfidfVectorizer,277,58.07547688484192
14,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Her's actions,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Her Husband's Actions,fake,Polyjuice,TfidfVectorizer,277,52.218990087509155
15,Is your county is For Russian Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,TfidfVectorizer,277,37.564820289611816
16,"Former South Korean President Park Geun-hye Sentenced To 20 Years For Bribery, Abuse Of Power.","Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",fake,Polyjuice,TfidfVectorizer,277,44.018352031707764
17,"In Red-state Washington, a major deterioration is being experienced in the Senate and in the House of Representatives of the USA.","In Red-State Utah, a Surge Toward Obamacare - The New York Times",fake,Polyjuice,TfidfVectorizer,277,39.46620178222656
18,( UPDATED),GOP Congressman Doug Lamborn Thrown Off The Ballot For 2018 (UPDATED),fake,Polyjuice,TfidfVectorizer,277,53.94961214065552
19,"Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges Of Murder""",Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,fake,Polyjuice,TfidfVectorizer,277,40.81525921821594
20,I forgot to mention how dynamically engaging I found my music at the beginning of the movie...,I Went to My First Classical Music Concert. It Was in My Living Room. - The New York Times,fake,Polyjuice,TfidfVectorizer,277,36.06825065612793
21,Louie Gohmert holds the dubious distinction of being the first to describe this process and source the great majority of the comments on this movie.,Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,TfidfVectorizer,277,42.198222160339355
22,Governor Farris Bryant announced the creation of a biracial committee to restore interracial communication in Florida.,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,TfidfVectorizer,277,47.099529504776
23,‘This Is Treason’: Hillary Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,TfidfVectorizer,277,40.02234077453613
24,Was Kris Kristofferson born in Norway?,Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,fake,Polyjuice,TfidfVectorizer,277,45.6926486492157
25,How Will Russia Russia move toward war?,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska,fake,Polyjuice,TfidfVectorizer,277,37.608285903930664
26,What exactly is immunization?,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times,fake,Polyjuice,TfidfVectorizer,277,30.253202199935913
27,"""This job is probably the one that",This Jobs Program Just Might Get People Back To Work,fake,Polyjuice,TfidfVectorizer,277,41.94801092147827
