,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"the movie has a soft , percolating magic , a beautiful deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,CountVectorizer,200,26.671470642089844
1,this is one of polanski's worst film.,this is one of polanski's best films .,polarity,Polyjuice,CountVectorizer,200,23.812349557876587
2,"Macallum, born in Derbyshire, was a sculptor born of","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,CountVectorizer,200,29.008938550949097
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his six month old trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,CountVectorizer,200,32.056313037872314
4,it's a glorious spectacle like those d . w . griffith made in the early days of cinematic history .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,CountVectorizer,200,26.337576866149902
5,. . . nothing remains movingly genuine .,. . . always remains movingly genuine .,polarity,Polyjuice,CountVectorizer,200,35.771114110946655
6,jonathan parker's bartleby should have been the be-all-end-all of the EMPTY anomie films .,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,CountVectorizer,200,25.179001331329346
7,"it's a lot better, though, and that's about it.",there's more repetition than creativity throughout the movie .,polarity,Polyjuice,CountVectorizer,200,21.632074117660522
8,My favorite parts of the movie are the two gun fights scene.,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,CountVectorizer,200,24.972339153289795
9,"and in telling a story, a strange, strange tale of suffering and hope that is brought to light as frequently as in the cinematic confectionery.","in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,CountVectorizer,200,29.696635961532593
10,EMPTY A good look at Barbara Steele's career can often tell you a very interesting person who has been been around before.,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",polarity,Polyjuice,CountVectorizer,200,37.03261184692383
11,"a pleasant ramble through the sort of idoosyncratic dialogue that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,CountVectorizer,200,28.387333869934082
