closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
shine quiz wkly q! win wkly,miss miss khelate kintu opponenter miss dhorte lage s d rule great phone receive quality win,0.5147393941879272,0.6836761207397786,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone
'' an interesting question. 4- digit unique password after successful completion of a level that was previously alphanumeric also to the player name to allow for a later resumption. '',open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.41380298137664795,0.8261698294836599,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
When ur kid is 11 you can bet your house on prom and i'll bet your house on prom either way.,hi hope ur day good walk table book half let know ur come,0.40032991766929626,0.9028643730072046,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
What do U mean?,"think \what u got\ think \""how use got\ good ni8",0.6159762740135193,0.9101050739813921,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
I don't know,think say clearly ok leave need ask come,0.5271521210670471,0.9095829773010436,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
number of characters after 4 digit EMPTY,open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.4407997131347656,0.8068879309975139,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award
Do u meet ur dream partner soon? EMPTY,hi hope ur day good walk table book half let know ur come,0.577639102935791,0.9068152417064654,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
EMPTY who is looking 2 make contact with each other who will be find out who be responsible to.,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.43944811820983887,0.8977976356495921,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
"Get a free ebook of the first authors, followed by a b-movie, and skip the comedy as it really works for me Just Wanna Have Something To Do, "" [ANSWER]",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4739578366279602,0.8751717123890747,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.
"No kudos for Michael Powell and Kiefer Sutherland doing their best and living the high life, taking the mantle of cinema's worst Ned( pretty hard considering the previous Ned's include Yahoo Serious, Mick Jagger & former Carlton champion( Australian Rules Football)",school start stay weather like food social support system like friend school thing important,0.3196077048778534,0.8384154214646747,UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub
tone club:,go get exciting karaoke type activity plan debate play football eve feel lazy,0.44800838828086853,0.5970876357396657,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
Your opinion is not important!,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.29360339045524597,0.851358743251592,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
You have been specially selected to receive a \ 3000 award,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.37016311287879944,0.7828335107759941,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
For 1 week there was no EQ test performed on the K2SO instrument. There was no loss of instruments on the J2SO instrument.,doubt handle 5 time night case,0.3806365728378296,0.8046146673856066,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
Can you help? I do.,ta job available let know cos need start work,0.3052682876586914,0.8910791033366389,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
download the file to collect your content.,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.49529263377189636,0.8544464585214258,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
"Don't bother trying to be critical, just leave your brain at the door and expect endless laughs to come.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.424140989780426,0.9294532073973057,"WELL DONE! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins"
EMPTY call 08712402578 EMPTY,inside office fill forms.don know leave,0.5888487100601196,0.7168532918988362,Please CALL 08712402578 immediately as there is an urgent message waiting for you
call 0871871110,call message miss call,0.668248176574707,0.9083240984970715,88800 and 89034 are premium phone services call 08718711108
Want ofc love?,wow love sooo know barely stand wonder day go love think miss,0.5362180471420288,0.8622305695072395,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg
2) The winners of each section qualify for the open draw of the Australian bowls disabled.,open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.4068106412887573,0.7841244817935394,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
Get 2 free for 1st week!,3 guy want come time soon,0.5549419522285461,0.8100608171308775,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
You have received a N64bage Award?,send score sophas secondary application school think think apply research cost contact joke ogunrinde school expensive one,0.381710946559906,0.8024770206094497,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
"Fotbal Club Forex Braşov was a Romanian pro - football club from Braşov, Romania, who was founded in October 2002 and was dissolved in 2011.",absolutely love south park recently start watch office,0.2620079815387726,0.7642280424775452,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
You have won Takhini Film Festival of film-making in an eight year old girl.,camera good 10.1mega pixel 3optical 5digital doom lovely holiday safe hope hav good journey happy new year couple week,0.3734428882598877,0.8125530324847698,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
bluetooth and music.,jay want work 4 sound,0.4416869282722473,0.7235049307206012,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
"The New York and Erie Railroad completed their route between Piermont and Dunkirk in 1851, New York via Hornell and Salamanca.",new car house parents.:)i new job hand,0.317580908536911,0.7324540351700295,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
EMPTY We are trying to contact you. EMPTY only,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4612453579902649,0.8863410828452191,URGENT! We are trying to contact you. Last weekends draw shows that you have won a aPS900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
a pdcy explorer? ctor a software developer...?,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.48933523893356323,0.7130730616646976,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p paPS3.99
