,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,'Law & Order: SVU' Tackles Trans Military Debate With New Storyline,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,fake,Polyjuice,TfidfVectorizer,262,33.02429723739624
1,What's her name again?,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,fake,Polyjuice,TfidfVectorizer,262,28.020966291427612
2,"on the other hand, claims that unsubstantiated allegations that have circulated about WhatsApp overwhelming.",Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,TfidfVectorizer,262,25.517906188964844
3,A Native American is playing a concert.,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,TfidfVectorizer,262,25.58969497680664
4,"EMPTY, Kendall Jenner for Defensive Positions","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,TfidfVectorizer,262,30.280431985855103
5,"His Faith in Exorcism is evident in his choice of actors, and it is this style that gives The Exorcist so many fricken fan boys",William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,fake,Polyjuice,TfidfVectorizer,262,31.311250686645508
6,Officer Puts Man In Chokehold Outside A North Carolina Convention House,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,fake,Polyjuice,TfidfVectorizer,262,28.62622618675232
7,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect American Network Bases,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,fake,Polyjuice,TfidfVectorizer,262,29.50950026512146
8,Can anyone help with the meaning of this word?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,TfidfVectorizer,262,20.511351346969604
9,I would rather take test online than in person because the online gives me more privacy.,"Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,TfidfVectorizer,262,26.687532424926758
10,Washington’s meddling in foreign policy,Washington’s meddling in foreign elections,fake,Polyjuice,TfidfVectorizer,262,28.824472427368164
11,Football Mom Accepts Daughter's Diploma,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,fake,Polyjuice,TfidfVectorizer,262,36.41480612754822
12,We Republicans Can Do It!,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),fake,Polyjuice,TfidfVectorizer,262,27.50320291519165
13,"A short biography, and brief summaries of Brodsky's longer fiction and critical reception can be found here:","Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",fake,Polyjuice,TfidfVectorizer,262,26.621256589889526
14,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Daughter's Actions,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Her Husband's Actions,fake,Polyjuice,TfidfVectorizer,262,26.709139347076416
15,Is your county receiving For Russian Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,TfidfVectorizer,262,23.290802717208862
16,"Yahoo and the Online Universe According to the company documents, The New York Times.",Yahoo and the Online Universe According to Verizon - The New York Times,fake,Polyjuice,TfidfVectorizer,262,32.200080156326294
17,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Pizza Owners,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,fake,Polyjuice,TfidfVectorizer,262,30.215232372283936
18,is most active in the area where marines are usually sent,General is most senior Army officer to kill self,fake,Polyjuice,TfidfVectorizer,262,28.006770610809326
19,Will Trump Trump Trump be nominated?,Donald Trump Will Not Be Mentioned By Name On 'Roseanne',fake,Polyjuice,TfidfVectorizer,262,26.665762186050415
20,"The New York Times reported: "" Smith asked the school's dean of religious studies to stay, but",Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,fake,Polyjuice,TfidfVectorizer,262,30.271647453308105
21,"Louie Gohmert, a veteran of the Vietcong who served in the U. S. army during the Korean War, is terrible as the country's most repugnant war hero.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,TfidfVectorizer,262,29.192887544631958
22,"This Is Us, ""Come on, ""Come on, Charlie"""" is bad, not funny, and pretty terrible when in a bad light.",‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,TfidfVectorizer,262,27.045132875442505
