,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,EMPTY Is Charity helpful!,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,fake,Polyjuice,372,24.79236125946045
1,Why did Donald Trump actually deliver the lines during the debate?,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,372,22.77300715446472
2,Isn't it ridiculous?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,372,29.242969751358032
3,"Oliver North,","Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",fake,Polyjuice,372,24.98444128036499
4,EMPTY Jared Kushner In Biting New Portrait,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,372,26.5312819480896
5,EMPTY Arizona Mosque Flooded With Support From Interfaith Allies.,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,372,32.10665512084961
6,Caught On Tape: ISIS Destroys Iraqi Abrams 's Anti-Tank Missile,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,fake,Polyjuice,372,22.88164758682251
7,"The Rest Of The World Showed Up To March For Their Lives""",The Rest Of The World Showed Up To March For Our Lives,fake,Polyjuice,372,26.650290489196777
8,Is Your County Elections Clerk Ready For Today's Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,372,19.53764009475708
9,EMPTY Is Trump's misogyny a political correctness?,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,fake,Polyjuice,372,27.477454900741577
10,"The New York Times reported: "" Scott Jeffords won a narrow Republican Primary against Long","In Red-State Utah, a Surge Toward Obamacare - The New York Times",fake,Polyjuice,372,29.70260739326477
11,"The New York Times reported: "" Smith was 'itiveive'in saying minorities were not allowed to drive, use or use public transportation.","Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,372,23.635416984558105
12,I feel very depressed sometimes.,11 very depressing economic realities that Donald Trump will inherit,fake,Polyjuice,372,31.018744468688965
13,"In 2016, 3. 9 % of children attended bilingual schools in primary education.","4 Presidents, 4 First Ladies Pose For Photo At Barbara Bush Funeral",fake,Polyjuice,372,23.859350442886353
14,is most of the military in the united states a force,General is most senior Army officer to kill self,fake,Polyjuice,372,24.238723278045654
15,Mike Pence Will Hillary Clinton be elected President?,Donald Trump Will Not Be Mentioned By Name On 'Roseanne',fake,Polyjuice,372,26.989702701568604
16,"This Trump Country House District Just Became A Key Progressive Battleground """,This Trump Country House District Just Became A Key Progressive Battleground,fake,Polyjuice,372,25.69336748123169
17,"The New York Times reported: "" Smith's intention to become a vegetarian was fast becoming a part of his life.",Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,fake,Polyjuice,372,28.150919914245605
18,Louie Gohmert makes a somewhat convincing man.,Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,372,22.50082230567932
19,Governor Kasich announced in March that he wants to join Governor Spiro and reach an agreement with Sarah Waters.,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,372,28.40014147758484
20,"This is not necessarily false, as I've seen and is certainly corroborated by the documentation supplied with the cryptographic service provider's website.",‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,372,27.113937854766846
21,Was Kris Kobach banned in order to allow for voting?,Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,fake,Polyjuice,372,24.61295461654663
22,What Will Wolfner do next?,So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?,fake,Polyjuice,372,27.967973947525024
23,Biden Stops to Rally America?,"Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors",fake,Polyjuice,372,25.186506748199463
24,These kids are so smart these days!,"Watch Out Alec Baldwin, These Kids' Donald Trump Impressions Are So On Point",fake,Polyjuice,372,24.58379101753235
25,Janelle Monáe Coming Out As Porn Star Sends Word To Top Of Merriam-Webster's Search,Janelle Monáe Coming Out As Pansexual Sends Word To Top Of Merriam-Webster's Search,fake,Polyjuice,372,23.89627432823181
26,Just Be Careful With This,Will Smith Just Brought 'The Fresh Prince Of Bel-Air' Back To 'The Tonight Show',fake,Polyjuice,372,26.555606842041016
27,Finally A Legitimate alternative to pay 1.,There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,372,21.164855241775513
28,"An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Snobies","An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies",fake,Polyjuice,372,30.952587366104126
29,Beijing holds South China Sea port,Beijing holds surprise South China Sea drills in response to US patrol,fake,Polyjuice,372,30.37607479095459
30,Leak: The Atlantic Had A Meeting About Kevin Williamson. It Was A Public Meeting.,Leak: The Atlantic Had A Meeting About Kevin Williamson. It Was A Liberal Self-Reckoning.,fake,Polyjuice,372,34.74323606491089
31,"German Theater Gives Free Hitler Play Tickets To People Wearing Swastikas""",German Theater Gives Free Hitler Play Tickets To People Wearing Swastikas,fake,Polyjuice,372,26.866174459457397
32,"After his death, the atheistic element of communism would be stepped up in some Marxist movements.","Italy, Hillary Clinton, Donald Trump: Your Thursday Evening Briefing - The New York Times",fake,Polyjuice,372,31.423295497894287
33,EMPTY Top Post Nominee ‘Berned’ at Stake for Christian Faith.,OMB Top Post Nominee ‘Berned’ at Stake for Christian Faith,fake,Polyjuice,372,38.1675705909729
34,Replaces Clayney on,Seann William Scott Replaces Clayne Crawford On Renewed 'Lethal Weapon',fake,Polyjuice,372,26.244609832763672
35,Corey Lewandowski returned to the lead coach after four games to replace coach Dan Lauzon.,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times,fake,Polyjuice,372,27.085768461227417
