,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,Bill Gates Says Trump Didn't Make The Difference Between HPV And HIV,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,CountVectorizer,302,27.83942413330078
1,U.S. Embassy In Jerusalem Opens Its Doors As Protests Are Nearby.,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,fake,Polyjuice,CountVectorizer,302,29.31026554107666
2,"Donald Trump's eldest son, son-in-law and campaign manager, is, as is his son-in-law and campaign manager, Mike John.",Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,CountVectorizer,302,27.51609182357788
3,"I'm not sure, and most definitely is not, because so many things have changed since Waters started making films in the 1960s, and 40 years later he has changed, too.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,CountVectorizer,302,28.03940200805664
4,Are the Illuminati real?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,CountVectorizer,302,30.6911404132843
5,What is NYDFS in Brooklyn?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,CountVectorizer,302,29.16876459121704
6,Obama To Apply For Political Asylum In Maryland,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,CountVectorizer,302,30.605998039245605
7,"Warrant Officer Robert S. Woods was replaced by Michael McDonnell on September 15, 2009.",Officer Puts Man In Chokehold Outside A North Carolina Waffle House,fake,Polyjuice,CountVectorizer,302,27.738720417022705
8,EMPTY Arizona Mosque Flooded With Support From Interfaith Allies,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,CountVectorizer,302,34.044270277023315
9,"What is the meaning of "" & ""?",Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,CountVectorizer,302,21.13276696205139
10,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - On Fox News:,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,fake,Polyjuice,CountVectorizer,302,24.38059949874878
11,"I Pray for Donald Trump, that his Presidency is a disaster and that his family is safe.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,CountVectorizer,302,30.392720460891724
12,Washington’s meddling in American elections,Washington’s meddling in foreign elections,fake,Polyjuice,CountVectorizer,302,26.727970600128174
13,Fun At Work Mom Accepts Daughter's Diploma,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,fake,Polyjuice,CountVectorizer,302,37.83994197845459
14,"Former South Korean President Park Geun-hye Sentenced To five Years For Bribery, Abuse Of Power.","Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",fake,Polyjuice,CountVectorizer,302,30.975054264068604
15,Is it safe to eat goldfish without salt?,Tips to Reduce Food Waste - The New York Times,fake,Polyjuice,CountVectorizer,302,24.707393407821655
16,"The New York Times reported: "" Cohen had told him he had met with "" at least 90 activists on a Turkish vessel in a Gaza-bound flotilla. ""","Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,CountVectorizer,302,26.055877923965454
17,Clintons -- Are there any? -- are there any? -- are there still Nazis?,Clintons Are Under Multiple FBI Investigations as Agents Are Stymied,fake,Polyjuice,CountVectorizer,302,29.746954202651978
18,General is most senior to the officer to kill self.,General is most senior Army officer to kill self,fake,Polyjuice,CountVectorizer,302,27.08243680000305
