lessconcon distance spacy,target text,closest counterfactual,closest true text
0.8323790662531527,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,Trump Adviser Had Twitter Contact Into Figure Tied to Russians - This International York Times,black americans go donald trump record number election day approach
0.7989519305095263,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,Billie Arnold Finds A Crunchy New Way to VIDEO Away At Trump,trump shift russia bring geopolitical whiplash new york time
0.7819405333172395,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","D.A. Henderson , Doctor Who Helped End Smallpox Scourge , Dies at 87 - Another New York CA",texas man kill neighbor use gay panic defense avoid murder charge
0.8187709248198699,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,Tom Moore Shreds THE Feds After Forcing Kids To Create Between Court Without Directors,america housing crisis spread small city
0.8038875285262811,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,FBI VIDEO Jennifer Loathes May Be Fired THROUGH Disclosing Oklahoma That Became Trump 's Campaign,americans approve dope soon
0.8664843341935685,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,Why Came Beijing Slap Down UK Kong Separatists ? To Make a Point - THIS New York I.E.,trump say talk way release americans hold north korea
0.7972099970214763,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","Trump Has Himself Did Stay Overnight In Moscow , Claims James Murphy Lied In OBAMA",sweden happiness short workday overcome cost new york time
0.7073910306687031,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,Zumwalt : Michael ’s Russian Hacking Shell Game - GOP,washington post fake news russian vermont power plant hack
0.824994282551839,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,The Bride and Groom Are Kittens . At Death He Did Not Part . - The Social York CA,queer eye karamo brown personal reason support march life
0.8421970140469685,Vermont Governor Signs Gun Control Bills Into Law,Vermont Hillary Signs Gun Control Bills Around Law,hillary big tent obama grand bargain steroid
0.7850757715724356,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,Shinzo Abe to Become First Facial Leader to Visit Pearl Harbor - An COUNTRY York Times,early north american human footprint find surprising spot canada
0.682118688692167,Trump’s “Conservative Revolution” (A view from Oz),Trump ’s “ Progressive Jihad ” ( A view from Oz ),queer eye karamo brown personal reason support march life
0.8114921819068744,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,Report : How to Listen while and Delete Every Voice Recording Saved by Amazon Echo - Alec,email interior expect learn public input bear ear review
0.819036161991013,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,Fresno Beach Goes to War Against Threat to Force District System - Bernard,california move let school co worker red flag dangerous gun owner
0.8732292926459119,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,A Dream That Survived Life in every War Zone and Life on every Streets - This New York I.E.,rest world show march life
0.8170766191077363,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,THIS Karolyis Say Us Had No Idea About Nassar Abuse At Their Training Library,review miranda lambert sing come heartbreak new york time
0.852231621912248,Thailand Looks to Likely Future King With Apprehension - The New York Times,Thailand Looks to Likely Future Hall With Apprehension - Both New York Delay,democrats chance take house get well new forecast
0.8235860348948121,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,Donald Trump Is Now Bringing US For Your Head And It Only Costs # 35 !,donald trump chuck schumer lead democrats doom breitbart
0.8062433774419892,Here is Elon Musk’s True Mars On Earth Plan,Here starts Elon Musk ’s US Mars On Earth Plan,flynn say talk russians sanction trump take office new york time
0.7451888489839393,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,Rihanna Blasts Snapchat Ad That WERE Forward Of Chris Jane Assaulting Us,deep brazil amazon explore ruin ford fantasyland new york time
0.8559618100152498,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - THIS New York CA,supreme court help company away sexual harassment
0.8279717374491825,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,73 Teens Shot Whether Death In The 37 Days THAT The Parkland Clinton,meet people obama give medal freedom
0.793590239869835,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","George Michael , United Nations , Shinzo Abe : Your Tuesday Briefing - Every New York Required",trevor noah rip trump new war horny national security adviser john bolton
0.8127356548911056,FACT: People Who Cry During Movies Are Mentally Strong People,FACT : People Who Cry For Movies Are Mentally Unusual People,meme like inside joke million people
0.7087996030134615,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,Gentrification and Junk Food : Chopped - Cheese Edition - This New Columbus Times,video bear eat ice cream dairy queen lead charge zoo owner
0.82770144589509,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested","Scientists Stage US - In For Gun Control Outside Paul George 's Office , Get Arrested",meet people obama give medal freedom
0.8248550158005195,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,Copenhagen Trolls Donald Trump With Funny House Ad To Join Americans A Message,msnbc make huge mistake try catch black family call trump racist
0.8351858807636114,Asian-American Pastor's Arrest In China Comes Amid Crackdown On Unsanctioned House Churches,Asian - American Pastor 's Arrest In Clinton Comes Amid Crackdown On Unsanctioned House Churches,watch kansas city drive shoot catch dash cam breitbart
0.8129001524432338,Mark Zuckerberg Doesn't Really Want Facebook To Be Regulated,Mark Zuckerberg HAS n't Really Want OBAMA To Be Regulated,sweden happiness short workday overcome cost new york time
0.8062683835904693,White House Forced To Release Some Visitor Logs In Legal Settlement,White Wall Forced To Release Some US I.E. May Legal Settlement,bad news hillary camera catch give strange man $ 300
0.8059445334507932,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,2 Florida Deputies Happened Dead Despite Eating Over Malaysia Restaurant,china showcase advanced missile follow mattis visit japan breitbart
0.8110293224180767,Jimmy Kimmel Says He’s Filing A Federal Complaint Against The Trumps,David CBS Sees Them ’s Voting A REPORT Board Against The Trumps,syrian war report november 7 2016 russian attack helicopter swarm homs province | vineyard saker
0.6497400424152298,Topless ‘Sextremist’ Feminists Grab Trump Waxwork ‘By the B*lls’,Topless ‘ Sextremist ’ Feminists Grab Trump Waxwork “ By this B*lls ’,twitter freak white people spot hold black trump sign
0.8301595866605577,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - Some New California Times,california move let school co worker red flag dangerous gun owner
0.7385514286344452,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times","After # OscarsSoWhite , Broadway Seeks a # TonysSoDiverse - Those Digital York Times",trump advice 25 year old self run president
0.7752833549792665,Detect Negative Energies And Malicious Entities Haunting You With A Glass Of Water,Detect Focus Energies And Malicious Matters Painting You With A Glass Of Water,white house furious medium prop give coverage guy want attention
0.8693276704375991,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,Jury To Weigh Despite Pulse Shooter ’s Widow Is A Monster BUT Right Married One,u.s baby boomer gentrification wreak havoc city socialist ecuador breitbart
0.8541049292273435,VIDEO: Man Allegedly High on Synthetic Street Drug Tries to Bite Officers After They Repeatedly Tasered Him - Breitbart,VIDEO : Man Literally High on Synthetic Street Drug Tries to Bite Officers FOR They Repeatedly Tasered Heard - Aaron,texas man kill neighbor use gay panic defense avoid murder charge
0.7978249917333605,Getty Mixed Up Mark Zuckerberg's Executive Assistant With Priscilla Chan,David Mixed Up John Zuckerberg 's Executive Assistant Despite Simon Chan,russophobia war party propaganda     information
0.9324611305500261,"Civil Rights Groups Sue Missouri, Saying It's Failing To Automatically Update Voter Records","Civil Rights Groups Sue Hudson , Saying It 's Failing To Automatically Happens Obama Records",concert trump miss opportunity new york time
0.8300173733620796,Why You Can’t Lose Weight on a Diet - The New York Times,Why You Ca n’t Lose Weight on a Diet - Both New York Week,8 stat prove social anxiety need take seriously
0.8202076734835583,One Of The DEA's Most Wanted Drug Traffickers Pleads To Be Left In Peace,One Of The FBI 's Most Miss Drug Traffickers Pleads To TAKE Left In Peace,breitbart news daily budget priorities breitbart
0.8281335439322581,Trump Says U.S. Will Use Military To Protect Border With Mexico,Clinton Says USA Will Use Military To Protect Border FOR Mexico,walk dead season 7 episode 3 ballad daryl dwight new york time
0.7815547945222295,Scott Pruitt Reportedly Lied About Knowledge Of Staff Raises,Jim Kathy Repeatedly Lied About US Of National Raises,u.s intelligence community counter coup hillary clinton coup
0.83130588878353,Note to America: Dont Be So Sure Youve Put Trump Behind You   : Information,Note to Asia : Dont Be So Sure Youve Put Trump If Yourself    : Information,trump briefly admit make change mind
0.829081899872702,‘Empire Records’ Actor Says There’s A Huge Nod To Kurt Cobain In The Film,‘ America Records ” Actor Thinks There ’s A Huge Nod To Kurt Julian In The Film,nature ultimate cure
0.8413095357556036,Look At This Remarkable Chart As The Public Dumps Stocks! 5th Largest Outflow In The Past 10 Years!,Look Through This GREAT Chart As The Public Dumps Stocks ! 5th Worldwide Outflow In Another Past 10 Years !,panicked borrower education department unsettling silence new york time
0.7847746114410271,George Clooney's Ex-Anchorman Dad Isn't Having It With Sinclair,Clinton Clooney 's Ex - Anchorman Dad Is n't Having It Over Sinclair,massive cover up clinton need stop
0.7895468131472592,The 5 Biggest Threats To Humanity Exposed,Both 5 Biggest Threats To Humanity Been,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.729515494601774,7 Places Prince Harry And Meghan Markle Might Honeymoon,7 Places Prince Harry And Dustin Markle US Honeymoon,matthews trail impeachment comey firing breitbart
0.8089437360323022,"What Are The Bulges Under Your Green Pantsuit, Hillary?","Whom Are The Bulges Without Your Green Pantsuit , David ?",queer eye karamo brown personal reason support march life
0.8303936703980669,Former Penn State President Found Guilty in Sandusky Abuse Case - The New York Times,Infamous Penn State President Found Guilty in Sandusky Abuse Case - A House York Times,new york attorney general launch investigation police killing black man
0.8197929392668091,Trump Will Beat Hillary With These Tricks,Trump Will Beat Rudy After Those Tricks,trump jr leave open possibility dad know trump tower meeting time
0.8138869072737752,Iraqi Army Discovers US-Made Missiles in ISIS’s Military Base in Mosul,Iraqi Army Discovers May - Made Missiles in Seth ’s Military Base in Taliban,iraq military blogger give unprecedented view war come clampdown
0.8357682061072471,Keith Richards Explains How He Got Rid Of Trump Nearly 30 Years Ago,Keith Richards Tells How WE Got US Of Trump Basically 30 Years Ago,review miranda lambert sing come heartbreak new york time
0.86176656340818,Black Americans Going For Donald Trump In Record Numbers As Election Day Approaches,Black Americans Going For Donald Trump WORLD Record Numbers Except Election Day Approaches,comment 16 tip have sex croatian girl watch summer vacation croatia
0.8294440441741827,"For Obama, Supreme Court Defeat Upends a Legacy on Immigration - The New York Times","For GOP , Prime Court Defeat Upends a Legacy on Immigration - The New Indiana Week",trump invite republican congressional leader white house healthcare tax reform overseas trip discussion
0.6853992268169167,Hybrid Wars 8. Strategies Against Africa (1B),Hybrid Wars 8 . Strategies IN Africa ( 1B ],japanese troop deploy south sudan risk overseas conflict world war 2
0.8276959057298205,Establishment-Backed Democrat Leaves Congressional Race Under Threat Of Ballot Challenge,Establishment - Joined Democrat Leaves Congressional Race Under Threat Of Judge Challenge,trump invite republican congressional leader white house healthcare tax reform overseas trip discussion
0.7888906139995338,Robert Wilkie Picked As New VA Secretary In Surprise Announcement,Robert Larson Picked As New Dallas Secretary In US Announcement,gulf protector arrest challenge gulf oil drilling
0.8038806849359252,UnReal Report: PM Modi trolls one and all with his surgical strike on black money,UnReal Report : PM Modi trolls one and all with their surgical strike on black door,queer eye karamo brown personal reason support march life
0.782743024816471,"MONOPOLY: Banks, Then Media, Now Voting Machine Companies – With One Company Supplying Over 50% Of Us Voting Machines.","MONOPOLY : Banks , Back Media , Now Voting Machine Companies – With Four License Supplying Over 33 % Of COUNTRY GOP Machines .",trump advice 25 year old self run president
0.7979324491975132,Not An Onion Story: Blake Farenthold Gets A New Job Lobbying Congress,Not An Onion Story : Blake Farenthold Is A House Happens Lobbying Hillary,bad news hillary camera catch give strange man $ 300
0.824643889409227,"Cyrus Mistry speaks out, says TATA removal didn’t hurt as much as punny headlines on it","Amy Mistry speaks out , does TATA removal did n’t hurt as much before punny headlines on it",trump briefly admit make change mind
0.8212136617453374,The Hidden Influence of Clinton and Trump’s Religion - The New York Times,An Hidden Influence of Penn and Trump ’s Religion - Another New London Times,queer eye karamo brown personal reason support march life
0.7858964009378545,"Trump Called Edward Snowden a Traitor, Implied He Should Be Executed","OBAMA Discovered Edward Nathan a Traitor , Commission He Should Be Executed",limbaugh call trump border wall cave country ready blame democrats shutdown breitbart
0.8563940780738735,Cathy Yan May Be First Asian Woman To Direct A Major Superhero Movie,McCarthy Yan Can Be Original Asian Woman To Direct US Major Superhero Movie,kelly tillerson visit mexico reassurance differ trump stance new york time
0.949382691190809,Talent Agency UTA Trades Oscar Party for Refugee Rally,Collective Agency UTA Trades Oscar Party despite Refugee Rally,hillary clinton charge obstruction justice prison 20 year
0.8287436365898256,Why Trump Won and Why Clinton Lost    :,Why Trump Won and Why Ohio Lost     –,trump good easy win trade war actually
