concon distance spacy,target text,closest counterfactual,closest true text
0.7373673232909951,Todays Voda numbers ending 1225 are selected to receive a aPS50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,Todays Voda numbers ending 1225 clarinettists inundates to receive a aPS50award . arrangment you trijet a match unaffied intertropical 08712300220 quoting pluck code 3100 standard rates determinizing,open rebtel firefox load plus sign user place number low number number pick number pin display okay
0.8393793148106161,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,Wanna unbreakably a laugh ? Try ambientes - CHAT inferencing your toker dinner-times ! pettifogger by txting hurcheon word : CHAT and verrayment it fault-finder No tail-fly 8883 distracting fleshly Box 4217 London W1A unattributable platyptera cattle 118p / fault-finder rcvd,forget work today wanna chat thing ok drop text free bored etc ring hope nose essay xx
0.7219149674654669,You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on,poeticising have WON nutcase prosecutor pence-table unfermented or a aPS2000 cyder . mystifying maasha induces refoot clientele expediate customer infantrymen symbologist on,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
0.6535893522071525,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,drooly disrobing Your 2004 Account Statement fourfold 078498****7 Saint Maurice untired unredeemed Bonus Points histories To disrobing orthoscopic 08719180219 cyberslacking Code : 45239 untired 06.05.05,save stress person dorm account send account detail money send
0.906638718854099,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,guerrillas : i have alphabet two of these . Only started ruinate i sillaginidæ a text overshared talk mylabris radio last week . Any connection do you think or coincidence ?,yeah sure thing mate haunt get stuff sort m go sound promote hex .by way not know number joke
0.7944196427082524,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,transverse Quiz Wkly Q ! inassimilable quanton top secularly DVD player if u know kaynard blindfish the Algarve carburation in acaricide transverse blindfish to 82277 embarrassingly uncemented SP : Tyrone,uncle boye need movie oh guide plus know torrent particularly legal system slow gr8 day plus start cos not meet online honey moon
0.8579627642625933,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""","You have Cagliari's frozenness verbesina desponder receive qanāt \3000 award ! Sforza 08712402050 BEFORE the lines close . Cost thinkfree Extremaduran nonsyndromic + coparcener T&Cs vigabatrin . AG engreatened """,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
0.7067968258150122,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Double Mins & Double Txt trilithon 1/2 flirts gesticulates on persuading syndyasmian Bluetooth phrase-mark . penpusher sleazier Adlington bangla very denucleated offers . 08000839402 pelargonic call2optout / LF56,forget work today wanna chat thing ok drop text free bored etc ring hope nose essay xx
0.8620125466193492,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,vapourised Quiz ! Win a super pergola DVD recorder if you squidged the capital of Australia bobtails ungnarled MQUIZ fizzenless 82277 . B,uncle boye need movie oh guide plus know torrent particularly legal system slow gr8 day plus start cos not meet online honey moon
0.8345369098710705,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,tholin you inspectors a gnaws video handset ? 750 anytime tumble-down buttonwood squinny ? Half noogy Line water-leech ? Camcorder ? Reply twibil regularisation 08000930705 for delivery tomorrow,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
