cfgan distance spacy,target text,closest counterfactual,closest true text
0.890977452372012,"Haha get used to driving to usf man, I know a lot of stoners",ok . how many should i buy .,lot sickness thing go round easy hope u feel well soon lol
0.8918995468634152,Horrible bf... I now v hungry...,ok lor . msg me b4 u call .,yar want 2 scold u yest late get zhong se qing u ask b4 ask w u lor n u act real
0.8771190590673712,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early","haha get100 to yan to usf in, i know a lot of rockr",lot sickness thing go round easy hope u feel well soon lol
0.7538704005458143,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,bored und . . . i now v predict . . .,ok r meet later
0.9089295398775056,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,"will do, you gonna be atvy' s all night? i might be wade to get out of here a little early",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.870333490939396,Nah im goin 2 the wrks with j wot bout u?,round if we do have to get auch babe we need to horn our mini valentine to party & lt; #& gt; / never approved just,d proof   lt;#&gt   rs will not allow work come home day
0.9119456854274729,How much she payed. Suganya.,hey no i stomach a disc nite was factld if ya 2 accounting under with me u: purchase: following! thanx but u wait ur n,hi petey!noiaom ok want 2 chat coz avent speak 2 u 4 long time hope ur doin alrite.have good nit js love ya am.x
0.9003701754143668,Do we have any spare power supplies,ok i am on the way to home hi hi,hi hope ur day good walk table book half let know ur come
0.8844401554741623,"It wont b until 2.15 as trying 2 sort house out, is that ok?",relatives im profit 2 the southernks with contacted wot spare u?,buy test yesterday let know exact day u ovulate.when 2u 2 3wks pls pls not fret know u r worried pls relax ur past history u need tell
0.7541922310658555,Yup but not studying surfing lor. I'm in e lazy mode today.,how much shecomed . su bringya .,lot sickness thing go round easy hope u feel well soon lol
0.8646717764957887,Bbq this sat at mine from 6ish. Ur welcome 2 come,do we have any thoughts appointments,speak uncle john today strongly feel need sacrifice go beg listen not promise clear thing easy need let work thing long expect help creativity stifle pls happy promise
0.9106666419715406,U ned to convince him tht its not possible witot hurting his feeling its the main,"it wont b until 2 . 122 as trying 2 21st house out, is that ok?",will not b 2.15 try 2 sort house ok
0.9207908556080326,I uploaded mine to Facebook,yup,yup ok
0.8183469815835154,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),ourq this southern atrow from 6 sf . ur . 2 come,thanx4 today cer nice 2 catch ave 2 find time oh care c u soon.c
0.8649461087124855,Hey you told your name to gautham ah?,u arrange to tell him tht its not possible wit records 54 his . its the .,hi hope ur day good walk table book half let know ur come
0.8085881429960662,Great. Have a safe trip. Dont panic surrender all.,i recession mine to ava,wonder okay uncle john let know thing nigeria r   lt;#&gt   dollar 2years send know strain plan pay dime give dime expect practical like
