cfgan distance spacy,target text,closest counterfactual,closest true text
0.8514137170012946,"no movement , no yuks , not much of anything","no film, no deank, not much of anything",despite fact film bad think go good movie
0.877696331036581,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","thematic of new f is an una mca reliable airs mess, whose only think running is that it ends by just about everything up",yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.9093416302739982,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never really feel personnel with the story, as all of its ideas remain just that tables ideas",feel like work finally age past prime realize want like people work
0.8211689509351985,this is one of polanski 's best films,this is one of pol triesb' s best films,simply fun documentary
0.8576477670022621,take care of my cat offers a refreshingly different slice of asian cinema,"take care of my cat offers a refreshingly, ball of cinema",skip film buy philip glass soundtrack cd
0.8332028513047195,the movie exists for its soccer action and its fine acting,the movie is for its expects action and its fine acting,well animated feature hit theater beauty beast 11 year ago
0.8655531090353458,arnold 's jump from little screen to big will leave frowns on more than a few faces,observation' s thirds from little screen to big will leave paint on more than a vow,fairly involving far go film end have fresh grow catholic
0.8754216234125095,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","the x has inesy effects and a ho if plot, but its us vow, ric de court sense of humor makes up for a",skip film buy philip glass soundtrack cd
0.8597607221865127,"even as lame horror flicks go , this is lame","even as khan civilized flicks go, this is lame",long movie go bad get actually pretty good minute
0.8479667274682972,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,any one banged of the creeps would strands this fragmented healthy sy to steve with the `,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.8220011612614434,most new movies have a bright sheen,most new movies have abde,attempt film noir spielberg present fascinating flawed look near future
0.8925028331864776,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what maids lives on theament does not ambiguous make for per beginning 1960 travel,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.709059077333388,steve irwin 's method is ernest hemmingway at accelerated speed and volume,##drich counts' s the is congericmingca at monster and speculation,art good yarn sneeze day
0.8038562929739879,nicely serves as an examination of a society in transition,definition relatively as an princess of a faults in bind,well animated feature hit theater beauty beast 11 year ago
0.9007585874826697,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the film would work much better as a video ought in a months, where ama would be dana to leave",will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8429331513288078,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole thing plays out with the dr tablesy he hauteness of a destruction han a clash baseballtee,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8517552870065848,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn","it' s a pleasure to see tail transformed verge whoing about theifz with peel tired rock,cr responsibleras and garden lots",kid probably eat thing adult way ahead plot
0.8712227769293978,"finally , a genre movie that delivers in a couple of genres , no less","finally, a genre movie that will in ations of believer, no less",well animated feature hit theater beauty beast 11 year ago
0.7780100935498083,"as a singular character study , it 's perfect","as atr character study, it' s plea",nightmare date half form wit great disservice lack critical distance sad trust liberal art college bumper sticker platitude
0.8327373412080694,haneke challenges us to confront the reality of sexual aberration,subjects pu factory us to creep the reality of word planet neil preceded,caddyshack cross loyal order raccoon
0.853482501584434,an experience so engrossing it is like being buried in a new environment,an experience so eng bruiseding it is like beingguide in a new revolt,skip film buy philip glass soundtrack cd
0.875884643962274,i do n't have an i am sam clue,i don't have an i is hip collaboration,kid probably eat thing adult way ahead plot
0.6569084335385967,the thrill is lrb long rrb gone,the the is lrb long rrb gone,fairly involving far go film end have fresh grow catholic
0.7094637346235642,much monkeyfun for all,muchmers withoutactic for all,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.8549061564618491,"much of the way , though , this is a refreshingly novel ride","much of the way, though, this is a takesly novel ride",mild meander teen flick
0.8506611061732049,one scarcely needs the subtitles to enjoy this colorful action farce,one playful nba the sub expects to enjoy this colorful action farhed,well animated feature hit theater beauty beast 11 year ago
0.8716501761056418,what might have been a predictably heartwarming tale is suffused with complexity,what might have been a hearably heartwarming tale isffress with creating,movie 11 year old boy sport dream preteen girl worship lil bow wow
0.842699685093775,"with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525","with our sets and bif special effects, densely is about as renaissance on the sci fi reno as tv' s onweight the claire",excuse follow delightful craft family film computer generate cold fish
0.8851654497668526,this is simply the most fun you 'll ever have with a documentary !,this is here the most fun you' ll ever have with a documentary!,skip film buy philip glass soundtrack cd
0.8880093742489605,"it represents better than average movie making that does n't demand a dumb , distracted audience","it relatively better than equals movie making that does n' t leaving a dumb, immediately audience",curious note film like similarly ill time antitrust easily bad fraction budget
0.7747082688858067,the sum of the parts equals largely a confused mediocrity,the sum of the partulates and a backgrounds med godfreycoity,principal cast fine bishop stevenson standout
0.8782122956831974,"it may be an easy swipe to take , but this barbershop just does n't make the cut","it may be an easy expects southern to consequences, but this eleven michellep just does n' t make the cut",badly level actually have hard time believe people pay
0.8591415745528445,"how on earth , or anywhere else , did director ron underwood manage to blow 100 million on this ?","how on undergraduate, or f else, did directorrations decisions manages to strands thet on this?",feel like work finally age past prime realize want like people work
0.8820974050616569,"for all its failed connections , divine secrets of the ya ya sisterhood is nurturing , in a gauzy , dithering way","for all its may attending, sense art of the ya ya reconstruction life is garden carmichael, in a gay, di gardening way",skip film buy philip glass soundtrack cd
0.7710379313931068,"as are its star , its attitude and its obliviousness","as are its star, its' and its expectsness",well animated feature hit theater beauty beast 11 year ago
0.8052150925282711,"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap crackle","##world lives howlock by siren roundeddic tv fia comedic z chase, it' s a une without the franksable may",work intricate elegance literary lyricism profound common sense
0.810995417126278,a dream cast of solid female talent who build a seamless ensemble,a freighter cast of if female talent who strands a carryingless the,well animated feature hit theater beauty beast 11 year ago
0.8448550077993372,"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre","instead of mason regain a 500 true story, the film' s moretures to become the addingpile runner a",well animated feature hit theater beauty beast 11 year ago
0.8945465293553939,"the movie is well shot and very tragic , and one to ponder after the credits roll","the movie is well shot and very eating, and one to impetus after the ignore roll",will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8465508714851262,"it is ridiculous , of course but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness","it is ridiculous, ofrize but it is also refreshing, diming, and just a ladies despite its insultingness",well animated feature hit theater beauty beast 11 year ago
0.9078261712772497,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids","everything you platt about it invor is still there, for everyone who tickets to be atwined among, or show it to their wreckage kids",kid probably eat thing adult way ahead plot
