xspells distance spacy,target text,closest counterfactual,closest true text
0.8614554884569543,windtalkers celebrates the human spirit and packs an emotional wallop,the film s so uninspiring that could a gorgeously ,hard imagine recent film independent make mess
0.8590403146498451,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,the film is so many of the time it s altman esque ,good thing film mind look like creative process operate
0.9047147309466043,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,the film is so many that time audiences it would have ,good thing film mind look like creative process operate
0.8128820820917152,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,the film is a primer on its observation and fills ,good thing film mind look like creative process operate
0.8389995336688829,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,the film is a primer on its own school comedy with ,tackle low budget movie inexperienced child play main character good way cut tooth film industry
0.8382815170495648,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,the film is a primer on its own and director in years ,workshop mentality prevail
0.8495167152980393,feels like six different movies fighting each other for attention,the film is a primer on its own and director in u ,good thing film mind look like creative process operate
0.8266833215619408,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,a movie that harps on and a fresh by a movie that ,tale horror revenge nearly perfect relentless descent depth man torture soul
0.8821310866826244,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,the film has the perfect characters are not to give ,workshop mentality prevail
0.85360900318384,pretty much sucks but has a funny moment or two,a movie that so lovingly and present the most of screen ,workshop mentality prevail
0.8472357621877074,topkapi this is not,a film that will enthrall the whole family and delightfully ,howard co star commit performance undo howard self conscious attempt find literary filmmaking style match subject
0.8915183262649637,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,the film is too many out of these guys are john in ,fairly involving far go film end have fresh grow catholic
0.8266793140104044,disney s live action division has a history of releasing cinematic flotsam but this is one occasion when they have uneahed a rare gem,the film is a contrivance as aificial as the film ,line opinion imposter make well short story film
0.8596010148360625,innocuous enough to make even jean claude van damme look good,a movie that one would be profane politically the ,curious note film like similarly ill time antitrust easily bad fraction budget
0.8915183262649637,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,the film is too many out of these guys are john in ,fairly involving far go film end have fresh grow catholic
0.87206715721525,merely and literally tosses around sex toys and offers half heaed paeans to empowerment that are repeatedly undercut by the brutality of the jokes most at women s expense,the film has the perfect characters are not to compromise ,workshop mentality prevail
0.8774202057313025,ranges from laugh out loud hilarious to wonder what time it is tedious,a movie that rare into a man who can t seen it s not ,resonant tale racism revenge retribution
0.8312554670711908,beautifully crafted engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic twisty yarn that will keep them guessing,the film is a primer on sentence of the film a movie ,line opinion imposter make well short story film
0.8802441852425192,it s funny as the old saying goes because it s true,a movie that one would have been seen in advance or ,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8542099233193842,nohe has made a decent intro documentary but he feels like a spectator and not a paicipant,a movie that so lovingly and present the one of screen ,get wrap visual eccentricity character find confused come time heart movie
0.8807912178877435,kinnear gives a tremendous performance,a movie that tries to the usual woods but winds up ,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8336999066144228,a knowing look at female friendship spiked with raw urban humor,the film is a primer on its own and fills its characters ,good thing film mind look like creative process operate
0.8983606541935987,one scene after another in this supposedly funny movie falls to the floor with a sickening thud,a movie that so of the best films like a confidence ,film people walk halfway encourage stand applaud undoubtedly leave camp engage ferocious debate year come
0.8819686794459003,from its invitingly upbeat oveure to its pathos filled but ultimately life affirming finale main is a masterfully conducted work,it s a very tasteful rock and roll movie you could ,resonant tale racism revenge retribution
0.8623805193150246,an old fashioned drama of substance about a teacher s slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for viue,the movie has been in years old but even with the ,feel like work finally age past prime realize want like people work
0.8176727475601226,it wouldn t be my preferred way of spending 100 minutes or 7 00,the film is a primer on its own his director in its ,good thing film mind look like creative process operate
0.8524367847350938,flawed but wohy look at life in u s relocation camps,a movie that rare into a man who can not mount a buyer ,exciting direct ghost imagery show toe
0.8020883533262877,mckay seems embarrassed by his own invention and tries to rush through the intermediary passages apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service,the film has the number of s a similarly morose and ,welle unhappy prospect human race splitting probably crazy great grandson movie splitting pretty way
0.8310574421237321,director andrew niccol demonstrates a wry understanding of the quirks of fame his healthy sense of satire is light and fun,the film is a primer on its own hollywood director ,line opinion imposter make well short story film
0.8596010148360625,as pure over the top trash any john waters movie has it beat by a country mile,a movie that one would be profane politically the ,curious note film like similarly ill time antitrust easily bad fraction budget
0.8505954673488344,rymer doesn t trust laughs and doesn t conjure proper respect for followers of the whole dead undead genre who deserve more from a vampire pic than a few shrieky special effects,the film has a laundry cast of human situation and ,tale horror revenge nearly perfect relentless descent depth man torture soul
0.8021986620120812,when de palma s bad he s really bad and femme fatale ranks with the worst he has done,the film is a primer on its own director director ,line opinion imposter make well short story film
0.8775002880304823,has its moments and almost as many subplots,a movie that rare into a man who can not always in ,jones help breathe life insubstantial plot overwhelm predictability
0.8308266486104386,sewer rats could watch this movie and be so skeeved out that they d need a shower,a movie that so of the highest and the most famous ,fairly involving far go film end have fresh grow catholic
0.8418727609300416,directed without the expected flair or imagination by hong kong master john woo windtalkers airs just about every cliche in the war movie compendium across its indulgent two hour and fifteen minute length,the film has a laundry list of camera work in which ,good thing film mind look like creative process operate
0.8312554670711908,an alternately raucous and sappy ethnic sitcom you d be wise to send your regrets,the film is a primer on sentence of the film a movie ,line opinion imposter make well short story film
0.8331519849220537,the best thing that can be said of the picture is that it does have a few cute moments,the film is a primer on its own animated tv in which ,good thing film mind look like creative process operate
0.8626116679478064,jones helps breathe some life into the insubstantial plot but even he is overwhelmed by predictability,the film is a primer on its own it fills a good movie ,good thing film mind look like creative process operate
0.8545841254262346,anyone who suffers through this film deserves at the very least a big box of consolation candy,the film is so of the 70s or film in which it s performance ,good thing film mind look like creative process operate
0.8346899429371082,moderately involving despite bargain basement photography and hackneyed romance,the film s visceral and predictable realism with a ,deliriously funny fast loose accessible uninitiated surprise
0.8258200746269154,it recycles every clich about gays in what is essentially an extended soap opera,the film is a primer on its own in town with sensitivity ,good thing film mind look like creative process operate
0.821327701830161,hilarious acidic brit comedy,the film s blatant is so good and its hea <end> ,good thing film mind look like creative process operate
0.8802441852425192,sade is an engaging look at the controversial eponymous and fiercely atheistic hero,a movie that one would have been seen in advance or ,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8545841254262346,flashy gadgets and whirling fight sequences may look cool but they can t distract from the flawed suppo structure holding equilibrium up,the film is so of the 70s or film in which it s performance ,good thing film mind look like creative process operate
0.8340567524819124,the audience when i saw this one was chuckling at all the wrong times and that s a bad sign when they re supposed to be having a collective hea attack,the film has the heavy handed that takes up with the ,hard imagine recent film independent make mess
0.8021986620120812,in the spirit of the season i assign one bright shining star to robeo benigni s pinocchio but i guarantee that no wise men will be following after it,the film is a primer on its own director director ,line opinion imposter make well short story film
0.833190188094496,escapism in its purest form,the film s visceral and predictable honest and the ,compelling exotic fast runner plot rival shakespeare intrigue treachery murder
0.8052131201818585,it s not just the vampires that are damned in queen of the damned the viewers will feel they suffer the same fate,the film is a primer on the beach with humor and humor ,plan perfect ending sweet home alabama hit mark critic escape small town life
0.8333167906399778,for those who are intrigued by politics of the 70s the film is every bit as fascinating as it is flawed,the film is a primer on its own animated tv and in ,good thing film mind look like creative process operate
0.8449468257518206,ah nuld s action hero days might be over,the film is a primer on its own his director and feels ,good thing film mind look like creative process operate
0.8312554670711908,broomfield reveals an ironic manifestation of institutionalized slavery that ties a black owned record label with a white empowered police force,the film is a primer on sentence of the film a movie ,line opinion imposter make well short story film
0.8331519849220537,a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apa,the film is a primer on its own animated tv in which ,good thing film mind look like creative process operate
0.8214593859564158,what better message than love thyself could young women of any size receive,a movie that rare into the reunion of s a performance ,compelling exotic fast runner plot rival shakespeare intrigue treachery murder
0.8656553515852797,a beguiling slow moving parable about the collision of past and present on a remote seacoast in iran,the film is so many that its through the film s mid ,good thing film mind look like creative process operate
0.8211582136917974,you needn t be steeped in 50s sociology pop culture or movie lore to appreciate the emotional depth of haynes work though haynes style apes films from the period its message is not rooted in that decade,the movie has been readily dismissed as the website ,curious note film like similarly ill time antitrust easily bad fraction budget
0.8828572681311763,a chronicle not only of one man s quest to be president but of how that man single handedly turned a plane full of hard bitten cynical journalists into what was essentially by campaign s end an extended publicity depament,the movie has been in years old but even as the movie ,despite fact film bad think go good movie
0.8249053381110841,one of the worst movies of the year,the film s a gaudy bag of stale candy ever made a ,wrap classic mother daughter struggle recycled paper shiny new bow audience tell new look pretty
0.8524567272208533,on a ceain base level blue crush delivers what it promises just not well enough to recommend it,the film is a primer on its own it s a rewarding balance ,good thing film mind look like creative process operate
0.8476615416152196,frailty offers chills much like those that you get when sitting around a campfire around midnight telling creepy stories to give each other the willies and there s no way you won t be talking about the film once you exit the theater,the movie has a laundry of the film s best and his ,tale horror revenge nearly perfect relentless descent depth man torture soul
0.8459532940185658,an exhilarating serving of movie fluff,a movie that makes for one of the best films <end> ,film people walk halfway encourage stand applaud undoubtedly leave camp engage ferocious debate year come
0.8312554670711908,so clich d that at one point they literally upset an apple ca,the film is a primer on sentence of the film a movie ,line opinion imposter make well short story film
0.87206715721525,the piano teacher is not an easy film it forces you to watch people doing unpleasant things to each other and themselves and it maintains a cool distance from its material that is deliberately unsettling,the film has the perfect characters are not to compromise ,workshop mentality prevail
0.8319130766663575,friday after next is a lot more bluster than bite,the film is a solid album of acting and direction ,workshop mentality prevail
0.8882905289169845,stuffed to the brim with ideas american instigator michael moore s film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition,the film is too many or even through the movie s mid ,despite fact film bad think go good movie
0.8312554670711908,it s so devoid of joy and energy it makes even jason x look positively shakesperean by comparison,the film is a primer on sentence of the film a movie ,line opinion imposter make well short story film
0.8602775430898502,if there s nothing fresh about wannabes which was written by mr demeo who produced and directed the film with charles a addessi much of the time the movie feels authentic,the film has a laundry exercise in camera that you ,workshop mentality prevail
0.8596010148360625,a comprehensive and provocative film one that pushes the boundaries of biography and challenges its audience,a movie that one would be profane politically the ,curious note film like similarly ill time antitrust easily bad fraction budget
0.8764522642173467,a modest masterpiece,a very funny look at how it s a pretty funny <end> ,view term treasure planet well average family entertainment true fan stevenson novel likely prefer disney faithful 1950 live action swashbuckling classic
0.8882905289169845,the setting is so cool that it chills the characters reducing our emotional stake in the outcome of intacto s dangerous and seductively stylish game,the film is too many or even through the movie s mid ,despite fact film bad think go good movie
0.8266793140104044,for the first time in years de niro digs deep emotionally perhaps because he s been stirred by the powerful work of his co stars,the film is a contrivance as aificial as the film ,line opinion imposter make well short story film
0.8312554670711908,a deliberative account of a lifestyle characterized by its surface obsession one that typifies the delirium of post pre and extant stardom,the film is a primer on sentence of the film a movie ,line opinion imposter make well short story film
0.8819686794459003,we never feel anything for these characters and as a result the film is basically just a curiosity,it s a very tasteful rock and roll movie you could ,resonant tale racism revenge retribution
0.8704165960759261,ceainly the performances are wohwhile,the film s so predictable and just plain detailed ,line opinion imposter make well short story film
0.8819686794459003,rubbo runs through a remarkable amount of material in the film s sho 90 minutes,it s a very tasteful rock and roll movie you could ,resonant tale racism revenge retribution
0.8258200746269154,a damn fine and a truly distinctive and a deeply peinent film,the film is a primer on its own in town with sensitivity ,good thing film mind look like creative process operate
0.8572340737252504,an average kid empowerment fantasy with slightly above average brains,a movie that so of the energy than a romantic comedy ,tackle low budget movie inexperienced child play main character good way cut tooth film industry
0.8310574421237321,a captivating coming of age story that may also be the first narrative film to be truly informed by the wireless age,the film is a primer on its own hollywood director ,line opinion imposter make well short story film
0.8122486562620567,you can practically hear george orwell turning over,the film is a primer on its own his director and director ,line opinion imposter make well short story film
0.8821396129601847,built on the premise that middle class arkansas consists of monster truck loving good ol boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids,the film is so many of the time it s so bad that s ,good thing film mind look like creative process operate
0.8528408010168163,this movie has a glossy coat of action movie excess while remaining healess at its core,it s a very tasteful to look at it s so devoid of ,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.8403924484919518,clockstoppers is one of those crazy mixed up films that doesn t know what it wants to be when it grows up,the film has a laundry exercise in camera and that ,workshop mentality prevail
0.8249053381110841,it s mildly amusing but i ceainly can t recommend it,the film s a gaudy bag of stale candy ever made a ,wrap classic mother daughter struggle recycled paper shiny new bow audience tell new look pretty
0.8482762291747091,the stories here suffer from the chosen format,a movie that so of the energy in a of healthy tv s ,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8626116679478064,for a film about action ultimate x is the gabbiest giant screen movie ever bogging down in a barrage of hype,the film is a primer on its own it fills a good movie ,good thing film mind look like creative process operate
0.8760676000840633,the first 2 3 of the film are incredibly captivating and insanely funny thanks in pa to interesting cinematic devices cool visual backmasking a solid cast and some wickedly sick and twisted humor,the film is too many out of these or historical moments ,fairly involving far go film end have fresh grow catholic
