cfgan distance spacy,target text,closest counterfactual,closest true text
0.8514137170012946,"no movement , no yuks , not much of anything","no film, no deank, not much of anything",despite fact film bad think go good movie
0.877696331036581,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","thematic of new f is an una mca reliable airs mess, whose only think running is that it ends by just about everything up",yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.9093416302739982,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never really feel personnel with the story, as all of its ideas remain just that tables ideas",feel like work finally age past prime realize want like people work
0.8211689509351985,this is one of polanski 's best films,this is one of pol triesb' s best films,outstanding film good likely appreciate sailor folk know way submarine
0.8576477670022621,take care of my cat offers a refreshingly different slice of asian cinema,"take care of my cat offers a refreshingly, ball of cinema",human comedy amusing interesting confirm
0.8279297222803317,the movie exists for its soccer action and its fine acting,the movie is for its expects action and its fine acting,tale horror revenge nearly perfect relentless descent depth man torture soul
0.8655531090353458,arnold 's jump from little screen to big will leave frowns on more than a few faces,observation' s thirds from little screen to big will leave paint on more than a vow,fairly involving far go film end have fresh grow catholic
0.8754216234125095,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","the x has inesy effects and a ho if plot, but its us vow, ric de court sense of humor makes up for a",human comedy amusing interesting confirm
0.8597607221865127,"even as lame horror flicks go , this is lame","even as khan civilized flicks go, this is lame",long movie go bad get actually pretty good minute
0.8479667274682972,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,any one banged of the creeps would strands this fragmented healthy sy to steve with the `,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.8215307751710643,most new movies have a bright sheen,most new movies have abde,generically forgettably pleasant start finish
0.8925028331864776,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what maids lives on theament does not ambiguous make for per beginning 1960 travel,human comedy amusing interesting confirm
0.7171335322478964,steve irwin 's method is ernest hemmingway at accelerated speed and volume,##drich counts' s the is congericmingca at monster and speculation,light silly photograph colour depth good time
0.7968608107182624,nicely serves as an examination of a society in transition,definition relatively as an princess of a faults in bind,ana vivid vibrant individual movie focus make successful accessible
0.9007585874826697,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the film would work much better as a video ought in a months, where ama would be dana to leave",will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8429331513288078,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole thing plays out with the dr tablesy he hauteness of a destruction han a clash baseballtee,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8517552870065848,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn","it' s a pleasure to see tail transformed verge whoing about theifz with peel tired rock,cr responsibleras and garden lots",feel like work finally age past prime realize want like people work
0.8657639251653905,"finally , a genre movie that delivers in a couple of genres , no less","finally, a genre movie that will in ations of believer, no less",gorgeous high spirited musical india exquisitely blend music dance song high drama
0.7780100935498083,"as a singular character study , it 's perfect","as atr character study, it' s plea",sad superior human comedy play road life
0.8327373412080694,haneke challenges us to confront the reality of sexual aberration,subjects pu factory us to creep the reality of word planet neil preceded,end leave like ship pass night insight gay love chinese society price pay dishonest
0.853482501584434,an experience so engrossing it is like being buried in a new environment,an experience so eng bruiseding it is like beingguide in a new revolt,human comedy amusing interesting confirm
0.875884643962274,i do n't have an i am sam clue,i don't have an i is hip collaboration,feel like work finally age past prime realize want like people work
0.6603665758839624,the thrill is lrb long rrb gone,the the is lrb long rrb gone,story congeal feel piece star war saga fall place way make spine tingle revelation excitement
0.7094637346235642,much monkeyfun for all,muchmers withoutactic for all,human comedy amusing interesting confirm
0.8542688247547702,"much of the way , though , this is a refreshingly novel ride","much of the way, though, this is a takesly novel ride",reggio glass rhapsodize cynicism repetition languorous slo mo sequence glass dirgelike score fang bare lullaby
0.830058578676957,one scarcely needs the subtitles to enjoy this colorful action farce,one playful nba the sub expects to enjoy this colorful action farhed,welcome relief baseball movie try hard mythic sweet modest ultimately win story
0.8632041536065327,what might have been a predictably heartwarming tale is suffused with complexity,what might have been a hearably heartwarming tale isffress with creating,shaky plot kaufman script memorable great liner
0.842699685093775,"with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525","with our sets and bif special effects, densely is about as renaissance on the sci fi reno as tv' s onweight the claire",frontal antidote soderbergh fan think go commercial oscar nominate film 2000
0.8851654497668526,this is simply the most fun you 'll ever have with a documentary !,this is here the most fun you' ll ever have with a documentary!,human comedy amusing interesting confirm
0.8880093742489605,"it represents better than average movie making that does n't demand a dumb , distracted audience","it relatively better than equals movie making that does n' t leaving a dumb, immediately audience",curious note film like similarly ill time antitrust easily bad fraction budget
0.7747082688858067,the sum of the parts equals largely a confused mediocrity,the sum of the partulates and a backgrounds med godfreycoity,ana vivid vibrant individual movie focus make successful accessible
0.8782122956831974,"it may be an easy swipe to take , but this barbershop just does n't make the cut","it may be an easy expects southern to consequences, but this eleven michellep just does n' t make the cut",badly level actually have hard time believe people pay
0.8591415745528445,"how on earth , or anywhere else , did director ron underwood manage to blow 100 million on this ?","how on undergraduate, or f else, did directorrations decisions manages to strands thet on this?",feel like work finally age past prime realize want like people work
0.8820974050616569,"for all its failed connections , divine secrets of the ya ya sisterhood is nurturing , in a gauzy , dithering way","for all its may attending, sense art of the ya ya reconstruction life is garden carmichael, in a gay, di gardening way",human comedy amusing interesting confirm
0.7605255849788628,"as are its star , its attitude and its obliviousness","as are its star, its' and its expectsness",fairly involving far go film end have fresh grow catholic
0.8052150925282711,"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap crackle","##world lives howlock by siren roundeddic tv fia comedic z chase, it' s a une without the franksable may",phone ring voice tell get seven day leave live phone warn video blockbuster midnight go face frightening late fee o k
0.8057851993394597,a dream cast of solid female talent who build a seamless ensemble,a freighter cast of if female talent who strands a carryingless the,tackle low budget movie inexperienced child play main character good way cut tooth film industry
0.8421422008838527,"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre","instead of mason regain a 500 true story, the film' s moretures to become the addingpile runner a",diversity artist represent term style ethnicity prevent proceeding feel repetitious appropriately brief 40 minute running time
0.8945465293553939,"the movie is well shot and very tragic , and one to ponder after the credits roll","the movie is well shot and very eating, and one to impetus after the ignore roll",will harm think good reason rush right probably video store christmas well suited night living room night movie
0.841067363913252,"it is ridiculous , of course but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness","it is ridiculous, ofrize but it is also refreshing, diming, and just a ladies despite its insultingness",yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
