wordnet distance spacy,target text,closest counterfactual,closest true text
0.7081302558881103,"no movement , no yuks , not much of anything","atomic_number_102 drift , atomic_number_102 yuks , non a_lot of anything",pompous garbled
0.8842159487399635,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","gangs of new york is an unapologetic mess , whose just saving grace is that it ends past blowing just about everything up",ultimately history academy people wonder jazz chicago 2002 zellweger whiny pouty lipped poof face spindly attempt play ingenue make nomination good actress
0.900998479067366,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never really experience involved with the history , as all of its ideas persist just that abstract ideas",ultimately history academy people wonder jazz chicago 2002 zellweger whiny pouty lipped poof face spindly attempt play ingenue make nomination good actress
0.8605325922854941,this is one of polanski 's best films,this cost one of polanski 's bad films,despite fact film bad think go good movie
0.8221158355164931,take care of my cat offers a refreshingly different slice of asian cinema,need guardianship of my CT provide a refreshfully like cut of asian celluloid,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.8707366666079831,arnold 's jump from little screen to big will leave frowns on more than a few faces,arnold 's chute from little screen to great will leave frowns on more than a few faces,allegedly inspiring easily marketable flick emperor club turn blind eye history pretend teach
0.8577925738426303,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","Jason x has cheesy effects and a hoary plot , but its macabre , self vilipend sensation of bodily_fluid makes down for a lot",say ice age fairly pretty picture substance story actually life
0.8387630926935119,"even as lame horror flicks go , this is lame","tied as crippled horror flicks go , this is crippled",comic gem delightful derivative
0.7915987499015021,most new movies have a bright sheen,to_the_highest_degree newly movies have a bright sheen,jones despite definitely distinctive screen presence able muster movie title notwithstanding lot nasty want fully capitalize lead specific gift
0.7125796669151259,nicely serves as an examination of a society in transition,nicely do angstrom Associate_in_Nursing scrutiny of amp lodge inch passage,fairly involving far go film end have fresh grow catholic
0.8747865327267045,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the film would work often improve as a television installation in vitamin_A museum , where viewers would atomic_number_4 unfree to leave",easy sit jaglom self conscious gratingly irritating film taint cliche painful improbability murky point
0.7823030554138123,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the solid thing wreak out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,film credit acting fresh unselfconscious munch marvel reality versus sappy sentiment
0.863279680422638,"finally , a genre movie that delivers in a couple of genres , no less","finally , a genre movie that birth in a couple of genres , no less",fairly involving far go film end have fresh grow catholic
0.8218271736714329,"as a singular character study , it 's perfect","amp a singular fiber consider , it 's perfect",yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.8157331981230944,haneke challenges us to confront the reality of sexual aberration,haneke dispute u to face the reality of sexual aberration,film strike ending realize long way fully understand sexual permutation involve
0.8620390273335775,an experience so engrossing it is like being buried in a new environment,an experience soh fascinating it is like cost buried in a new environment,save deeply affect film merely collection wrenching case corcuera attention detail
