cfgan distance spacy,target text,closest counterfactual,closest true text
0.7878610405129086,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,trump greece has twitter with memo the to istanbul - the new york times,regardless brexit vote expert e.u rethink status quo new york time
0.7341834181551549,Matt Smith Speaks Out About 'The Crown' Pay Gap,##case madam choice out about' the goods' hence virus,different kind gender gap 7 place woman earn man
0.8085650438941355,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,stormyqual finds a macyy newqual to looked at trump,trump jr leave open possibility dad know trump tower meeting time
0.7938089154288552,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","d . a . quiet, choke who unofficial end ci sc released jam, dies at - the new york times",left smear campaign sebastian gorka continue breitbart
0.7868862183660364,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,johnnatot strives thehons for guardian cement to appear in court syriaeti,supreme court help company away sexual harassment
0.8289531217155278,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,fbi partisan trump russo libyaes may be grandpa foreve reseting news that andrey trump' s campaign,right hitler kill trump insider describe trump campaign final day
0.8231164064849478,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,whymar trumpege down soul 232 propaganda stations loses? to make a - the new york times,left smear campaign sebastian gorka continue breitbart
0.7859395237174148,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","trump says he didgel trail in empowerment, starbucks james comeyact in timber",trump jr leave open possibility dad know trump tower meeting time
0.6524398214660266,French Jewish Leaders 'Horrified' By Murder Of Holocaust Survivor,bern palestinians becoming' defined' byroom of 150,80 western back ngo ask un drop russia human rights council
0.6537484056071894,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,louie bra murphyt: obama ’ sising spider ‘ game - breitbart,northern sea route new prospect pacific rim | new eastern outlook
0.8077189284685901,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,thequal and gorilla are days . at ecuador they did not settlements . - the new york times,wikileaks document reveal united nations interest ufo
0.8559026544092371,Vermont Governor Signs Gun Control Bills Into Law,raising governor tried gun negotiate resentment into law,new vermont gun law will work gun advocate try undermine
0.7857892968347132,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,weland nap to pre first w to to'eve cameo - the new york times,left smear campaign sebastian gorka continue breitbart
0.6791705131867878,Trump’s “Conservative Revolution” (A view from Oz),trump ’ s “ conservative cool ” (a' fromoids),little extortion y' guy figure stormy daniels old lawyer actually pretty
0.7646192696732066,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","amber southern does ahmad regarding offka - out loses, gets linking",history professor break kanye west get wrong say slavery choice
0.7682603018606564,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,report: how to relationship to and the grandpa: rental messages and by amazon copa - breitbart,new jersey student loan program death bring reprieve new york time
0.786517574266806,Trump Threatens To 'Close Down The Country' If Border Wall Doesn't Get Funding,trump approaches to' donate down the country' if bordering doesn' t booths fed,democrats chance take house get well new forecast
0.7458280195903244,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,sum lt lone to war againsty toably yet cement - breitbart,house republican leader fear evan mcmullin spy breitbart
0.8293882162567934,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,a takeover that strive around in a war 94 and pets on the craig - the new york times,wikileaks document reveal united nations interest ufo
0.825824492701219,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,the kako losers say they had no heavy about deploy capsot at theirptive soul,trump have second thought spend deal
0.818838843882213,Thailand Looks to Likely Future King With Apprehension - The New York Times,russia looks to upholdmot skeptical with - the new york times,wikileaks document reveal united nations interest ufo
0.8535593271134772,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,donald trump is now regarding day for your tour and it only prevailing $vincent brit,black americans go donald trump record number election day approach
0.7759400127465879,Here is Elon Musk’s True Mars On Earth Plan,here is reserve users relationship resentment ’ s ominous blake on harding quietly,trump jr leave open possibility dad know trump tower meeting time
0.7402164936080419,Gloria Steinem: 'I've Never Seen This Much Activism In My Life',holocaust lt panic :' i' have pumpkin assumed thishad pumpkin in 141 life',frozen star say anxiety attack cause miss broadway performance
0.7673819528572955,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,southern kn bowlscreent cool that ’ insane of reviewsanu carling her,little extortion y' guy figure stormy daniels old lawyer actually pretty
0.8155941392804653,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,opposing lt more demand' yous after sexual attendant claims against o ’ 90 - the new york times,stable democracy warning sign flash red new york time
0.7693889375764182,Ellen DeGeneres Has Tessa Virtue And Scott Moir Play 'Definitely Not Dating' Game,starts night hezbollah launched has mourning exchange and woman insultrbro' nichols not mobile',queer eye karamo brown personal reason support march life
0.7451883563813887,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,circlesnat banker to death in the wireless massage techno the parkland jacobs,video show parkland deputy enter school mass shooting happen inside
0.7701859048104727,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","tiny michael,egemot, marked massage: your touching briefing - the new york times",limbaugh watch silent coup place obama democrats breitbart
0.7923416820209919,FACT: People Who Cry During Movies Are Mentally Strong People,glimpse: people who' during team are conclusion lash people,different kind gender gap 7 place woman earn man
0.7195175666423046,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,##cadeland banker and taxi finally: competitor - 200nat - the new york times,friday mailbag measure crowd malign region new york time
0.8298226825797995,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested","students urban checking - in for gun control out somali ryan' s office, get arrested",california move let school co worker red flag dangerous gun owner
0.7987160039801666,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,howland donald trump with detainees sophia ad to sincerely americans a dinner,pelosi pray donald trump presidency successful family safe
0.8157261585628427,Asian-American Pastor's Arrest In China Comes Amid Crackdown On Unsanctioned House Churches,pays - american bisexual' s houston in china stiff amid trump linking on un troy feded house clock,3 american jail n. korea home trump situation bad
0.8278901125182616,Mark Zuckerberg Doesn't Really Want Facebook To Be Regulated,mark ally murphy trump doesn' t really want david to be rosie,susan sarandon think trump go to term
0.828769126943368,White House Forced To Release Some Visitor Logs In Legal Settlement,white house germany to release some starts use in legaleve,democrats chance take house get well new forecast
0.6325159893809932,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,trapping lt dus hell whilerut at till dame,tim allen man stand come year cancel
0.8045484470815158,Jimmy Kimmel Says He’s Filing A Federal Complaint Against The Trumps,jimmy kimmel says he ’ sitt a federal good we the trumps,trump complaint obama give away syria strategy look pretty silly
0.668101478240164,Topless ‘Sextremist’ Feminists Grab Trump Waxwork ‘By the B*lls’,##ita swimmers ‘ sex easter advanced ’:s' trumpba survivor ‘ by the b lls ’,kim possible live action movie find new kim ron
0.7911102440609278,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,donald trumpettas wall day lawyer toably s . codes . stopped . - the new york times,comment 16 tip have sex croatian girl watch summer vacation croatia
0.7942882000206253,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times","afterzes billion paws comparisons the menon, woman loses a #fight craigish wreck - the new york times",left smear campaign sebastian gorka continue breitbart
0.7341855950573607,Stormy Daniels Scores '60 Minutes' Its Highest Ratings In Nearly A Decade,58 ltls' executive resentment' its china assumed in reviews a turks,80 western back ngo ask un drop russia human rights council
0.8108845234717581,Detect Negative Energies And Malicious Entities Haunting You With A Glass Of Water,brutal takeover easter and baldwin tonight bullshit you with ain of europeans,trump complaint obama give away syria strategy look pretty silly
0.7628028678870483,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,##eem to converts if regarding school ’ swalker is a witch or justish one,different kind gender gap 7 place woman earn man
0.7850302284231869,VIDEO: Man Allegedly High on Synthetic Street Drug Tries to Bite Officers After They Repeatedly Tasered Him - Breitbart,video: manege negotiate on along ally heartbreak buffalo to - goods after they manufacturersed himeitbar,venezuela deny family lawyer access leopoldo lópez dissident remain missing breitbart
0.8098310648738481,Getty Mixed Up Mark Zuckerberg's Executive Assistant With Priscilla Chan,celebrityt forum up mark not compilation conclude' s executive attracted with hillary bachelor,stable democracy warning sign flash red new york time
0.7826403660253236,A Saucy Meme Made 41-Year-Old Fleetwood Mac Song 'Dreams' Climb The Charts,a lt regardingy me . made publisher - year -t guide able song' alton' strong the,guy review long island rest stop worth pull
0.6462733053969852,Trump's Lawyer May Have Stored 'Gold Mine' Of Recorded Conversations: Report,trump' s lawyer may haveka' unofficial' ' of experiencedtion: report,trump doctor say trump basically write glow health letter report
0.6457851755540645,"Civil Rights Groups Sue Missouri, Saying It's Failing To Automatically Update Voter Records","##las opponent stars attacking witch,",medium hysteria wapo treat kevin mccarthy joke proof trump russia link breitbart
0.8339951826913211,Why You Can’t Lose Weight on a Diet - The New York Times,why you can ’ t day clothing on a korea - the new york times,wikileaks document reveal united nations interest ufo
0.798042401227628,One Of The DEA's Most Wanted Drug Traffickers Pleads To Be Left In Peace,one of the fury' s waited goods heartbreak only 1948 mockeds to be playboy inouts,rest world show march life
0.8212505239079778,Trump Says U.S. Will Use Military To Protect Border With Mexico,trump says u . s . will ally stations to briefly border with brilliant,trump say border wall go right
0.7602280000223819,Scott Pruitt Reportedly Lied About Knowledge Of Staff Raises,notch partisan yorkt photos day about confess of alt turks,guy review long island rest stop worth pull
0.7906837760103553,Note to America: Dont Be So Sure Youve Put Trump Behind You   : Information,comment to america: gayt be so grandpa youtine biting trumpoon you: broadcasting,new jersey student loan program death bring reprieve new york time
0.8103929638134979,‘Empire Records’ Actor Says There’s A Huge Nod To Kurt Cobain In The Film,‘ 300 linking ’ sexually says there ’ s a looked marco to jump them in the impressions,guy review long island rest stop worth pull
0.7214344252110793,Trump's Call For A 'Space Force' Makes Him The Laughingstock Of The Galaxy,trump' s searching for a' constitutional force' ' him the balconyish of the,straight couple lose court battle enter civil partnership
0.8283731371591563,Look At This Remarkable Chart As The Public Dumps Stocks! 5th Largest Outflow In The Past 10 Years!,look at this danish quiet as the fischer grandpas memo! acquire rat out squeezed in the coming 10 !,guy review long island rest stop worth pull
0.7411693623970185,George Clooney's Ex-Anchorman Dad Isn't Having It With Sinclair,george partisan murphy anchor' s ex - innovativeman 1948 experience' tish it with,little extortion y' guy figure stormy daniels old lawyer actually pretty
0.585714277016247,"YouTube Shooter Was 'Upset' With Company, Police Say","##bbs noah was'tale' withfying, police virus",maryland police charge 3 church leader past abuse risk teen girl
0.7775569161746534,The 5 Biggest Threats To Humanity Exposed,the 5 save anchor to skeptical bat,guy review long island rest stop worth pull
