wordnet distance spacy,target text,closest counterfactual,closest true text
0.8526995622630951,Todays Voda numbers ending 1225 are selected to receive a aPS50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,Todays Voda numbers ending 1225 are unselected to invite a aPS50award . If you ingest A match please promise 08712300220 quote title cypher 3100 criterion place app,aight set free think text blake address occur sure think
0.9029773571786411,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,Wanna possess a laugh ? Try check - visit on your immobile now ! Logon aside txting the intelligence : Old_World_chat and send it to No : 8883 centimetre atomic_number_84 corner 4217 Greater_London W1A 6ZF sixteen + 118p / monosodium_glutamate rcvd,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.8843362347502681,You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on,You have South_Korean_won a assure aPS1000 cash operating_theater angstrom_unit aPS2000 prime . To forfeit year pry phone our client divine_service nonrepresentative off,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
0.9021273015872547,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,date : i have had two of these . Only started after i sent a text to talk cavort radio last week . Any connection do you think surgery happenstance ?,little darling far week need coffee run tomo?can't believe time week u
0.8599156135414807,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""","You bear represent especially select to receive a \3000 honor ! send_for 08712402050 earlier the stock close . Cost 10ppm . 16 + . T&Cs employ . atomic_number_47 Promo """,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
0.8824418078861014,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,sun test ! advance a super Sony videodisc recorder if you canname the Das_Kapital of Australia ? textual_matter MQUIZ to 82277 . B,uncle boye need movie oh guide plus know torrent particularly legal system slow gr8 day plus start cos not meet online honey moon
0.8803260122481867,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,Do you want a fresh telecasting handset ? 750 anytime any net mins ? whole Mary_Leontyne_Price course rental ? camcorder ? Reply surgery scream 08000930705 for speech tomorrow,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.8481729420900537,"Today's Offer! Claim ur aPS150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. aPS3.00 Sub. 16 . Unsub reply X","Today 's tender ! title ur aPS150 worth of brush_aside coupon ! trade_edition YES to 85023 right_away ! SavaMob , fellow_member offer roving ! T hundred 08717898035 . aPS3.00 Cuban_sandwich . xvi . Unsub response cristal",dear friend sorry late information today birthday loving ar.praveesh detail log face book number + lt;#&gt not miss delicious treat
0.8767507908173263,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,< Forwarded from 21870000 > howdy - this is your letter_box messaging atomic_number_62 alert . You cause xl pair . Please cry back off 09056242159 to remember your messages and equalise cc100p / min,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.7961057087672824,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,fluid clubhouse : select any of the go_past quality detail for your wandering . 7cfca1a,go good problem need little experience understand american customer voice
0.7890402215886251,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message","fresh tint This week include : 1)McFly - All Ab .. , deuce ) Sara Jorge - Shock .. 3 ) Will Smith - Switch .. To order_of_magnitude precede instructions on following subject_matter",will not b 2.15 try 2 sort house ok
0.8866002821618665,"Loan for any purpose aPS500 - aPS75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","Loan for any use aPS500 - aPS75,000 . homeowner + renter say_farewell . take you been antecedently admit ? We can still serve . Call Free 0800 1956669 or textbook indorse ' helper '",sorry not right happen r 2waxsto wat want come ill medical insurance able deliver basic care currently shop right medical insurance til friday morning s i.ll major person guide right insurance
0.9193896488466085,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!","how-do-you-do ya sister ten u 4goten bout ME ? ' scammer getting smart .. Though this is a regular vodafone no , if you respond you get further prem rate msg / subscription . Other No habituate also . mind !",yeah sure thing mate haunt get stuff sort m go sound promote hex .by way not know number joke
0.8832718064243807,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,atomic_number_92 take_in amp clandestine protagonist who is looking ii induce liaison with uracil - find out who they R*reveal World_Health_Organization imagine Ur so peculiar - telephone_call off 09065171142 - stopsms-08718727870150ppm,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl
0.7193519801079166,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Your hebdomadally Cool - pack whole_tone are ready to download ! This weeks worn intone include : 1 ) Crazy Frog - AXEL F > > > II ) Akon - unfrequented > > > 3 ) Black Eyed - Dont P > > > More info in n,will not b 2.15 try 2 sort house ok
0.8784474972599675,YOU ARE CHOSEN TO RECEIVE A aPS350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,YOU ARE take TO RECEIVE A aPS350 AWARD ! Pls vociferation title number 09066364311 to collect your award which you are selected to meet as a appreciate mobile client .,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl
0.8901292130973343,"This is the 2nd attempt to contract U, you have won this weeks top prize of either aPS1000 cash or aPS200 prize. Just call 09066361921","This constitute the 2nd attempt to compress U , you bear fall_back this hebdomad pinnacle booty of either aPS1000 cash_in or aPS200 appreciate . Just cry 09066361921",speak uncle john today strongly feel need sacrifice go beg listen not promise clear thing easy need let work thing long expect help creativity stifle pls happy promise
0.9126355196787009,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You 'll not rcv any more msgs from the chaffer svc . For justify Hardcore disservice text GO to : 69988 If u get nothing u must Age Verify with year network & try again,mum send message get want know actually get enjoy rest day
0.8285574948118626,"Shop till u Drop, IS IT YOU, either 10K, 5K, aPS500 Cash or aPS100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","shit public_treasury u Drop , constitute IT YOU , either 10 M , cinque K , aPS500 Cash surgery aPS100 move verifier , name straight_off , 09064011000 . NTT petty_officer box CR01327BT fixedline be 150ppm roving alter",yes start send request pain come bed double coin factory get to cash nitro
0.8669394878278808,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,unsexy unity cost hold_off for you ! trade_edition your long_time come aside your grammatical_gender as fade M operating_theatre f E.G.23F. For gay men schoolbook your rejuvenate followed past vitamin_A G. e.g.23G.,amazing quote \sometime life difficult decide s wrong lie bring smile truth bring tear
0.8744761230615183,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,Dec only ! take your stabile 11mths+ ? You are entitled to update to the late colour photographic_camera mobile for Free ! Call The nomadic Update Colorado unloosen off 08002986906,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8729753071766249,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are trying to tangency you . finish weekends draw appearance that you won a aPS1000 dirty_money secure . phone_call 09064012160 . take inscribe K52 . Valid 12hrs merely . 150ppm,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
