,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has a wet , percolating magic , a delightful suspense .",movie wet percolate magic delightful suspense,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,55.48930597305298,0
1,this is one of polanski's best films .,this is one of polanski 's worst films ;),polanski bad film,else-,CountVectorizer,growing_language,MLPClassifier,polarity,46.17528247833252,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like mysteries with his passages , mcgrath crafts quite moving scenes over her resolutely dramatic variation on this novel .",like mystery passage mcgrath craft move scene resolutely dramatic variation novel,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,101.84452891349792,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of grasp , no mundane interpretation of midnight 's prefeminist plight , so we 're left thinking the only reason to decide this movie is because present changes allow for plenty of nudity .",point grasp mundane interpretation midnight prefeminist plight leave think reason decide movie present change allow plenty nudity,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,169.84516501426697,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less fashioned than listening to a two - gap - gothic with a taste for rubbish recount his halloween trip to the haunted house .,sit reel spoiler alert significantly fashioned listen gap gothic taste rubbish recount halloween trip haunted house,else-,CountVectorizer,growing_language,MLPClassifier,polarity,168.41212916374207,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . depressing , an animal - cutting tour of modern beijing culture in the maze of desire , retreat between oblivion or return .",depress animal cut tour modern beijing culture maze desire retreat oblivion return,else-,CountVectorizer,growing_language,MLPClassifier,polarity,114.13913750648499,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a musical spectacle like those d :-) w -- griffith made in the early events of silent film .,musical spectacle like d w griffith early event silent film,else-,CountVectorizer,growing_language,MLPClassifier,polarity,105.00028347969055,0
7,[at least] moore is a real charmer .,[ at least ] moore wants a little charmer .,moore want little charmer,else-,CountVectorizer,growing_language,MLPClassifier,polarity,43.68631052970886,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent and unremarkable . . . and gradually proves into kid of innovative power .,film start competent unremarkable gradually prove kid innovative power,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,93.46433401107788,0
9,. . . always remains movingly genuine .,. . . completely remains movingly genuine ?,completely remain movingly genuine,else-,CountVectorizer,growing_language,MLPClassifier,polarity,28.152822971343994,0
