,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie accept a subdued , percolating magic , a deadpan suspense .",movie accept subdue percolate magic deadpan suspense,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.1988391876220703,0
1,this is one of polanski's best films .,this is one of polanski 's ill picture_show .,polanski ill picture_show,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.3144564628601074,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite still scenes throughout his resolutely dramatic variation on the novel .",like dicken passage mcgrath craft scene resolutely dramatic variation novel,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.2738509178161621,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the motion-picture_show is because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think reason motion picture_show present standard allow plenty nudity,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.17770671844482422,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is importantly less charming than listening to a four - year - old with a taste for exaggeration recite his halloween trip to the haunted house .,sit reel spoiler alert importantly charming listen year old taste exaggeration recite halloween trip haunted house,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.34673404693603516,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . bewitch , AN eye - initiative circuit of innovative beijing refinement in a journeying of insurrection , recede into oblivion and pass .",bewitch eye initiative circuit innovative beijing refinement journeying insurrection recede oblivion pass,else-,CountVectorizer,growing_net,MLPClassifier,polarity,13.38023567199707,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made in the early_on solar_day of silent film .,glorious spectacle like d w griffith early_on solar_day silent film,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.19528985023498535,0
7,[at least] moore is a real charmer .,[ at least ] Henry_Moore is a substantial charmer .,henry_moore substantial charmer,fluffy disposible,CountVectorizer,growing_net,MLPClassifier,polarity,0.5933670997619629,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but everyday . . . and gradually maturate into something of considerable power .,film start competent everyday gradually maturate considerable power,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.22071313858032227,0
9,. . . always remains movingly genuine .,. . . always corpse movingly actual .,corpse movingly actual,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.0673983097076416,0
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the Bodoni_font - office anomie films .,jonathan parker bartleby end bodoni_font office anomie film,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2205507755279541,0
11,there's more repetition than creativity throughout the movie .,there 's more repetition than creativity throughout the motion-picture_show .,repetition creativity motion picture_show,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.1723184585571289,0
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",movie hilarious witty inventive hindsight dumb,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.11142945289611816,0
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a entrance african film about the modern condition of rootlessness , a state experienced by millions around the globe .",entrance african film modern condition rootlessness state experience million globe,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.1961519718170166,0
14,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","Hoosier_State the tell_apart of a storey largely untold , bui chooses to bring_on something that represent at_long_last suspiciously unfamiliar .",hoosier_state tell_apart storey largely untold bui choose bring_on represent at_long_last suspiciously unfamiliar,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,1.0508956909179688,0
15,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for all IT shoot - outs , fistfights , and railway_car chases , this movie is a phlegmatic behave , so windy it makes the silly spy vs . spy film the sum of all fears , leading ben affleck , seem downright hitchcockian .",shoot out fistfight railway_car chase movie phlegmatic behave windy make silly spy vs spy film sum fear lead ben affleck downright hitchcockian,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,2.995511054992676,0
16,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a unpleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess angstrom_unit loose , lackadaisical charm .",unpleasant ramble sort idoosyncratic terrain errol morris deal possess angstrom_unit loose lackadaisical charm,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.27042078971862793,0
17,eight crazy nights is a showcase for sandler's many talents .,eight crazy dark is a show_window for sandler 's few gift .,crazy dark show_window sandler gift,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,3.052919387817383,0
18,"from beginning to end , this overheated melodrama plays like a student film .","from beginning to end , this overheat melodrama plays like a student film .",begin end overheat melodrama play like student film,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.16415882110595703,0
19,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .","aside shoot entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut - bustingly funny and crushingly depressing .",aside shoot entertainment tonight subject matter give humor poignancy auto focus gut bustingly funny crushingly depressing,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.7814700603485107,0
20,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike is n't interested in recycling previous banality . it wants to tweak them with a taste of tangy new humor .,like mike interested recycle previous banality want tweak taste tangy new humor,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.28217315673828125,0
21,"it is a testament of quiet endurance , of common concern , of reconciled survival .","it is a testament of silence endurance , of common concern , of reconciled survival .",testament silence endurance common concern reconciled survival,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.18904995918273926,0
22,it's probably not easy to make such a worthless film . . .,it 's probably not comfortable to make such a worthless film . . .,probably comfortable worthless film,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.12779498100280762,0
23,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by - the - numbers effort by washington . it wo n't rock any boats but is satisfying meat - and - potatoes filmmaking .",antwone fisher earnest number effort washington wo rock boat satisfy meat potato filmmaking,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.16860723495483398,0
24,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i can suppose this motion-picture_show as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",suppose motion picture_show b&w british comedy circa 1960 peter seller kenneth williams et al time cast movie hopeless,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.19380855560302734,1
25,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .","angstrom touch_on , pervert film that almost seems similar a documentary in the direction information_technology captures an italian immigrant house on the brink of John_Major changes .",angstrom touch_on pervert film similar documentary direction information_technology capture italian immigrant house brink john_major change,else-,CountVectorizer,growing_net,MLPClassifier,polarity,6.719187021255493,1
26,". . . very funny , very enjoyable . . .",". . . very suspect , very enjoyable . . .",suspect enjoyable,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.08317923545837402,1
27,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '","it fete the group 's unplayful spark of conformity , glance vividly game at what hibiscus grandly holler his ' holy_man of perch . '",fete group unplayful spark conformity glance vividly game hibiscus grandly holler holy_man perch,else-,CountVectorizer,growing_net,MLPClassifier,polarity,7.160251617431641,1
28,i can't recommend it . but it's surprisingly harmless .,i ca n't urge it . but it 's surprisingly harmless .,urge surprisingly harmless,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.2322368621826172,1
29,"narratively , trouble every day is a plodding mess .","narratively , trouble every day is a slog deal .",narratively trouble day slog deal,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.3161933422088623,1
30,execrable .,wretched .,wretched,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.06676220893859863,1
31,[a] rather thinly-conceived movie .,[ a ] rather thinly - conceived motion-picture_show .,thinly conceive motion picture_show,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.19963693618774414,1
32,has a lot of the virtues of eastwood at his best .,has adenine lot of the virtues of eastwood at his just .,adenine lot virtue eastwood,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2565910816192627,1
33,kept aloft largely by a comically adept ensemble .,celebrate aloft largely by a comically adept ensemble .,celebrate aloft largely comically adept ensemble,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.28022050857543945,1
34,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .","the word , ' frankly , my dear , i do n't give a damn , ' have never been more appropriate .",word frankly dear damn appropriate,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.25370359420776367,1
35,a fascinating but choppy documentary .,a spellbind but choppy documentary .,spellbind choppy documentary,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2355024814605713,1
